timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
241099201, 2.37, 6.89e-08, 6.04e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
245332801, 4.14, 1.37e-09, 1.65e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
248356801, 1.79, 4.27e-08, 3.54e-08, 3.71, 6.37, 1e-08, 102, non_zero_quality
255614401, 1.82, 5.98e-08, 4.8e-08, 3.57, 6.57, 1e-08, 102, non_zero_quality
257428801, 4.47, 6.84e-08, 3.77e-08, 3.42, 4.54, 1e-08, 102, non_zero_quality
259243201, 5.83, 9.75e-08, 5.74e-08, 3.44, 4.15, 1e-08, 102, non_zero_quality
264081601, 2.46, 7.15e-08, 5.77e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
264686401, 6.93, 9.79e-08, 1.63e-07, 3.03, 4.84, 1e-08, 102, non_zero_quality
267710401, 8.61, 1.15e-07, 5.59e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
270129601, 1.21, 4.32e-08, 1.12e-06, 3.97, 7.03, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
274363201, 1.45, 6.99e-08, 1.19e-07, 3.34, 8.25, 1e-08, 102, non_zero_quality
277992001, 1.64, 7.92e-08, 8.36e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
289483201, 4.58, 6.71e-08, 4.39e-08, 3.66, 4.45, 1e-08, 102, non_zero_quality
290088001, 2.55, 4.48e-08, 4.28e-08, 3.23, 6.34, 1e-08, 102, non_zero_quality
300974401, 1.65, 8.9e-08, 9.32e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
304603201, 1.68, 5.19e-08, 4.66e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
305208001, 5.65, 1.52e-07, 9.09e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
315489601, 5.52, 1.63e-07, 7.51e-08, 4.21, 3.7, 1e-08, 102, non_zero_quality
