timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
241099201, 13.66, 4.72e-08, 2.32e-08, 2.07, 0, 1e-08, 0
243518401, 2.67, 1.94e-08, 1.46e-08, 2.07, 0, 1e-08, 0
248961601, 13.12, 2.52e-08, 1.36e-08, 2.07, 0, 1e-08, 0
249566401, 1.18, 6.83e-09, 8.77e-09, 2.07, 0, 1e-08, 0
251380801, 1.46, 2.06e-08, 1.93e-08, 2.07, 0, 1e-08, 0
252590401, 4.89, 1.42e-08, 1.25e-08, 2.07, 0, 1e-08, 0
255009601, 5.91, 4.06e-08, 2.53e-08, 2.07, 0, 1e-08, 0
256219201, 6.52, 2.22e-08, 1.47e-08, 2.07, 0, 1e-08, 0
256824001, 5.11, 1.86e-08, 1.5e-08, 2.07, 0, 1e-08, 0
257428801, 4.87, 1.03e-08, 9.41e-09, 2.07, 0, 1e-08, 0
258033601, 1.8, 1.82e-08, 1.62e-08, 2.07, 0, 1e-08, 0
258638401, 1.34, 1.72e-08, 1.9e-08, 2.07, 0, 1e-08, 0
261662401, 6.99, 1.84e-08, 1.36e-08, 2.07, 0, 1e-08, 0
262267201, 7.21, 3.5e-08, 1.7e-08, 2.07, 0, 1e-08, 0
262872001, 3.08, 2.25e-08, 1.63e-08, 2.07, 0, 1e-08, 0
264686401, 3.76, 2.24e-08, 1.6e-08, 2.07, 0, 1e-08, 0
265896001, 1.72, 9.57e-09, 1.09e-08, 2.07, 0, 1e-08, 0
267710401, 2.95, 2.14e-08, 1.61e-08, 2.07, 0, 1e-08, 0
268920001, 5.23, 1.11e-08, 1.1e-08, 2.07, 0, 1e-08, 0
270129601, 1.83, 1.41e-08, 1.4e-08, 2.07, 0, 1e-08, 0
270734401, 8.95, 2.39e-08, 1.46e-08, 2.07, 0, 1e-08, 0
271944001, 2.06, 2.45e-08, 1.97e-08, 2.07, 0, 1e-08, 0
272548801, 1.13, 6.89e-09, 8.59e-09, 2.07, 0, 1e-08, 0
273153601, 1.33, 1.51e-08, 1.61e-08, 2.07, 0, 1e-08, 0
