timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 65.74, 6.96e-08, 1.27e-08, 2.27, 0, 1e-08, 0
246067201, 388.3, 2.03e-07, 1.7e-08, 2.27, 0, 1e-08, 0
248659201, 413.64, 1.84e-07, 1.5e-08, 2.27, 0, 1e-08, 0
251251201, 265.49, 1.49e-07, 1.5e-08, 2.27, 0, 1e-08, 0
253843201, 40.89, 5.12e-08, 1.13e-08, 2.27, 0, 1e-08, 0
256435201, 61.75, 6.06e-08, 1.13e-08, 2.27, 0, 1e-08, 0
259027201, 243.09, 1.45e-07, 1.55e-08, 2.27, 0, 1e-08, 0
261619201, 174.16, 1.06e-07, 1.21e-08, 2.27, 0, 1e-08, 0
264211201, 144.16, 1.17e-07, 1.5e-08, 2.27, 0, 1e-08, 0
266803201, 31.37, 3.53e-08, 9.1e-09, 2.27, 0, 1e-08, 0
269395201, 118.56, 1.04e-07, 1.42e-08, 2.27, 0, 1e-08, 0
271987201, 281.27, 1.6e-07, 1.5e-08, 2.27, 0, 1e-08, 0
274579201, 117.91, 1.04e-07, 1.5e-08, 2.27, 0, 1e-08, 0
277171201, 20.87, 4.4e-08, 1.23e-08, 2.27, 0, 1e-08, 0
279763201, 8.61, 2.52e-08, 1.12e-08, 2.27, 0, 1e-08, 0
287539201, 6.97, 2.52e-08, 1.13e-08, 2.27, 0, 1e-08, 0
290131201, 1.47, 1.11e-08, 1.02e-08, 2.27, 0, 1e-08, 0
292723201, 24.65, 4.66e-08, 1.23e-08, 2.27, 0, 1e-08, 0
295315201, 8.49, 2.24e-08, 9.8e-09, 2.27, 0, 1e-08, 0
300499201, 19.39, 4.24e-08, 1.26e-08, 2.27, 0, 1e-08, 0
303091201, 2.29, 1.11e-08, 9.21e-09, 2.27, 0, 1e-08, 0
308275201, 48.46, 5.5e-08, 1.13e-08, 2.27, 0, 1e-08, 0
310867201, 3.99, 1.74e-08, 1e-08, 2.27, 0, 1e-08, 0
313459201, 6.16, 2.29e-08, 1.12e-08, 2.27, 0, 1e-08, 0
316051201, 11.51, 3.06e-08, 1.2e-08, 2.27, 0, 1e-08, 0
318643201, 6.91, 2.55e-08, 1.15e-08, 2.27, 0, 1e-08, 0
321235201, 14.41, 3.4e-08, 1.15e-08, 2.27, 0, 1e-08, 0
323827201, 18.58, 3.27e-08, 9.6e-09, 2.27, 0, 1e-08, 0
326419201, 2.1, 1.39e-08, 1.12e-08, 2.27, 0, 1e-08, 0
329011201, 2.2, 1.3e-08, 9.98e-09, 2.27, 0, 1e-08, 0
331603201, 5.57, 2.22e-08, 1.2e-08, 2.27, 0, 1e-08, 0
339379201, 1.41, 7.96e-09, 8.44e-09, 2.27, 0, 1e-08, 0
341971201, 11.76, 3.4e-08, 1.2e-08, 2.27, 0, 1e-08, 0
347155201, 1.85, 7.95e-09, 7.66e-09, 2.27, 0, 1e-08, 0
349747201, 1.02, 6.58e-09, 7.7e-09, 2.27, 0, 1e-08, 0
357523201, 2.83, 1.4e-08, 1.03e-08, 2.27, 0, 1e-08, 0
360115201, 2.6, 1.03e-08, 8.4e-09, 2.27, 0, 1e-08, 0
362707201, 8.96, 2.55e-08, 1.06e-08, 2.27, 0, 1e-08, 0
365299201, 9.14, 2.94e-08, 1.21e-08, 2.27, 0, 1e-08, 0
367891201, 6.57, 2.52e-08, 1.15e-08, 2.27, 0, 1e-08, 0
370483201, 59.41, 6.85e-08, 1.26e-08, 2.27, 0, 1e-08, 0
373075201, 58.79, 7.1e-08, 1.31e-08, 2.27, 0, 1e-08, 0
375667201, 20.97, 4.16e-08, 1.19e-08, 2.27, 0, 1e-08, 0
378259201, 1.92, 9.28e-09, 8.23e-09, 2.27, 0, 1e-08, 0
380851201, 1.09, 1.11e-08, 1.15e-08, 2.27, 0, 1e-08, 0
386035201, 75.6, 9.01e-08, 1.56e-08, 2.27, 0, 1e-08, 0
388627201, 37.22, 4.73e-08, 1.16e-08, 2.27, 0, 1e-08, 0
391219201, 13.26, 3.33e-08, 1.24e-08, 2.27, 0, 1e-08, 0
393811201, 5.12, 1.77e-08, 1.06e-08, 2.27, 0, 1e-08, 0
401587201, 1.68, 1.1e-08, 9.28e-09, 2.27, 0, 1e-08, 0
404179201, 15.1, 2.78e-08, 9.6e-09, 2.27, 0, 1e-08, 0
406771201, 5.12, 1.82e-08, 9.7e-09, 2.27, 0, 1e-08, 0
414547201, 1.79, 9.45e-09, 8.95e-09, 2.27, 0, 1e-08, 0
422323201, 5.01, 1.76e-08, 1.08e-08, 2.27, 0, 1e-08, 0
427507201, 2.34, 1.39e-08, 1.12e-08, 2.27, 0, 1e-08, 0
440467201, 2.82, 1.06e-08, 8.71e-09, 2.27, 0, 1e-08, 0
443059201, 3.61, 1.83e-08, 1.11e-08, 2.27, 0, 1e-08, 0
445651201, 1.18, 1.03e-08, 1.08e-08, 2.27, 0, 1e-08, 0
450835201, 1.48, 8.89e-09, 8.92e-09, 2.27, 0, 1e-08, 0
453427201, 1.44, 8.02e-09, 8.16e-09, 2.27, 0, 1e-08, 0
456019201, 1.79, 8.91e-09, 8.7e-09, 2.27, 0, 1e-08, 0
458611201, 3.03, 1.62e-08, 1.08e-08, 2.27, 0, 1e-08, 0
463795201, 6.95, 2.14e-08, 1.03e-08, 2.27, 0, 1e-08, 0
466387201, 1.45, 8.73e-09, 8.45e-09, 2.27, 0, 1e-08, 0
468979201, 21.21, 2.89e-08, 9.8e-09, 2.27, 0, 1e-08, 0
471571201, 22.46, 3.29e-08, 1.08e-08, 2.27, 0, 1e-08, 0
479347201, 7.06, 1.79e-08, 9e-09, 2.27, 0, 1e-08, 0
481939201, 11.46, 2.98e-08, 1.17e-08, 2.27, 0, 1e-08, 0
484531201, 10.63, 3.35e-08, 1.28e-08, 2.27, 0, 1e-08, 0
487123201, 10.82, 2.97e-08, 1.2e-08, 2.27, 0, 1e-08, 0
489715201, 4.95, 2.17e-08, 1.15e-08, 2.27, 0, 1e-08, 0
492307201, 3.18, 1.17e-08, 8.68e-09, 2.27, 0, 1e-08, 0
497491201, 6.16, 2.07e-08, 9.4e-09, 2.27, 0, 1e-08, 0
500083201, 1.78, 8.07e-09, 7.63e-09, 2.27, 0, 1e-08, 0
502675201, 3.13, 1.41e-08, 1e-08, 2.27, 0, 1e-08, 0
505267201, 1.43, 6.83e-09, 7.27e-09, 2.27, 0, 1e-08, 0
507859201, 14.78, 3.32e-08, 1.14e-08, 2.27, 0, 1e-08, 0
