timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
242049601, 5.71, 8.83e-08, 5.07e-08, 2.81, 0.6, 1e-08, 0
242308801, 3.34, 8.78e-08, 5.8e-08, 3.34, 1.11, 1e-08, 0
242827201, 3.76, 2.72e-09, 3.54e-09, 0.7, 0.9, 1e-08, 0
245160001, 6.08, 1.18e-08, 1.5e-08, 1.56, 0.57, 1e-08, 0
245937601, 5.26, 1.5e-07, 8.19e-08, 3.91, 1.23, 1e-08, 0
247752001, 2.2, 5.99e-08, 4.72e-08, 3.33, 1.05, 1e-08, 0
249307201, 1.31, 2.4e-08, 3.16e-08, 2.37, 0.87, 1e-08, 0
249825601, 3.08, 9.13e-08, 6.38e-08, 4.07, 2.03, 1e-08, 0
251121601, 5.82, 1.17e-07, 6.09e-08, 3.71, 1.12, 1e-08, 0
251380801, 1.06, 3.93e-08, 4.83e-08, 2.54, 1.1, 1e-08, 0
251640001, 2.24, 4.04e-08, 3.54e-08, 2.37, 0.64, 1e-08, 0
252158401, 3.51, 3.09e-08, 3.35e-08, 2.17, 0.67, 1e-08, 0
253713601, 1.06, 5.08e-08, 5.71e-08, 3.24, 2.79, 1e-08, 0
257083201, 9.7, 9.38e-09, 9.2e-09, 1.32, 0.42, 1e-08, 0
258897601, 2.73, 4.45e-08, 5.43e-08, 2.34, 0.85, 1e-08, 0
259416001, 7.45, 1.06e-07, 6.32e-08, 2.71, 0.56, 1e-08, 0
259675201, 33.2, 1.5e-07, 5.4e-08, 1.99, 0.23, 1e-08, 0
259934401, 19.4, 8.27e-08, 4.83e-08, 1.92, 0.35, 1e-08, 0
260712001, 6.66, 6.27e-08, 5.42e-08, 2.33, 0.74, 1e-08, 0
260971201, 18.7, 1.05e-07, 4.89e-08, 2.38, 0.35, 1e-08, 0
261230401, 13.02, 8.3e-08, 4.38e-08, 2.26, 0.35, 1e-08, 0
261748801, 1.6, 2.82e-08, 3.65e-08, 2.2, 0.81, 1e-08, 0
262267201, 2.34, 2.24e-08, 3.3e-08, 2.32, 0.87, 1e-08, 0
262785601, 11.2, 1.13e-07, 5.57e-08, 2.57, 0.42, 1e-08, 0
263044801, 3.06, 1.06e-07, 7.29e-08, 3.4, 1.71, 1e-08, 0
263304001, 4.53, 6.87e-08, 6.02e-08, 2.99, 1.08, 1e-08, 0
263563201, 53.9, 2.17e-07, 5.9e-08, 2.11, 0.2, 1e-08, 0
263822401, 18.23, 8.51e-08, 4.6e-08, 1.91, 0.33, 1e-08, 0
264081601, 29.65, 1.6e-07, 6.19e-08, 2.16, 0.27, 1e-08, 0
264340801, 3.15, 7.33e-08, 5.98e-08, 2.49, 0.72, 1e-08, 0
264859201, 4.33, 5.4e-08, 4.61e-08, 2.25, 0.59, 1e-08, 0
265377601, 2.7, 5.78e-08, 4.7e-08, 2.53, 0.69, 1e-08, 0
265896001, 3.09, 2.29e-08, 2.13e-08, 1.93, 0.47, 1e-08, 0
