timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239889601, 0.0, 2.8e-08, 1e-08, 0
240494401, 0.0, 5.28e-08, 1e-08, 0
242913601, 0.0, 4.34e-08, 1e-08, 0
243518401, 0.13, 5.04e-08, 1e-08, 0
251380801, 0.0, 4.15e-08, 1e-08, 0
253800001, 0.02, 5.52e-08, 1e-08, 0
255009601, 0.0, 5.24e-08, 1e-08, 0
255614401, 0.17, 5.6e-08, 1e-08, 0
256219201, 0.72, 6.24e-08, 1e-08, 0
258033601, 0.24, 5.87e-08, 1e-08, 0
258638401, 0.28, 8.7e-08, 1e-08, 0
262872001, 0.27, 6.06e-08, 1e-08, 0
268315201, 0.15, 7.6e-08, 1e-08, 0
271944001, 0.46, 6.44e-08, 1e-08, 0
273153601, 0.25, 6.27e-08, 1e-08, 0
273758401, 0.0, 4.5e-08, 1e-08, 0
274363201, 0.0, 3.66e-08, 1e-08, 0
274968001, 0.0, 3.58e-08, 1e-08, 0
276177601, 0.0, 5.46e-08, 1e-08, 0
276782401, 0.0, 4.09e-08, 1e-08, 0
279201601, 0.0, 4.9e-08, 1e-08, 0
279806401, 0.0, 4.62e-08, 1e-08, 0
281016001, 0.0, 4.92e-08, 1e-08, 0
281620801, 0.0, 4.58e-08, 1e-08, 0
282225601, 0.02, 5.5e-08, 1e-08, 0
283435201, 0.04, 5.35e-08, 1e-08, 0
284040001, 0.0, 5.39e-08, 1e-08, 0
285854401, 0.23, 7.39e-08, 1e-08, 0
286459201, 0.0, 4.49e-08, 1e-08, 0
287064001, 0.49, 5.71e-08, 1e-08, 0
294926401, 0.22, 6.03e-08, 1e-08, 0
295531201, 0.59, 6.53e-08, 1e-08, 0
296136001, 0.0, 5.4e-08, 1e-08, 0
297345601, 0.59, 6.52e-08, 1e-08, 0
297950401, 0.0, 5.26e-08, 1e-08, 0
298555201, 0.0, 6.47e-08, 1e-08, 0
300369601, 0.75, 6.5e-08, 1e-08, 0
300974401, 0.4, 7.48e-08, 1e-08, 0
301579201, 0.36, 6.76e-08, 1e-08, 0
304603201, 0.03, 6.48e-08, 1e-08, 0
306417601, 0.02, 4.71e-08, 1e-08, 0
307022401, 0.16, 4.04e-08, 1e-08, 0
308232001, 0.0, 4.71e-08, 1e-08, 0
309441601, 0.0, 3.81e-08, 1e-08, 0
310046401, 0.0, 5.01e-08, 1e-08, 0
310651201, 0.0, 4.08e-08, 1e-08, 0
311256001, 0.0, 4.3e-08, 1e-08, 0
311860801, 0.04, 7.5e-08, 1e-08, 0
313675201, 0.03, 4.96e-08, 1e-08, 0
319118401, 0.92, 6.11e-08, 1e-08, 0
320328001, 0.0, 4.27e-08, 1e-08, 0
320932801, 0.0, 3.12e-08, 1e-08, 0
321537601, 0.0, 5.76e-08, 1e-08, 0
328190401, 0.65, 6.46e-08, 1e-08, 0
330609601, 0.0, 6.83e-08, 1e-08, 0
333633601, 0.0, 3.53e-08, 1e-08, 0
334843201, 0.05, 5.67e-08, 1e-08, 0
336052801, 0.0, 4.28e-08, 1e-08, 0
337262401, 0.0, 3.66e-08, 1e-08, 0
337867201, 0.0, 4.24e-08, 1e-08, 0
339681601, 0.0, 3.58e-08, 1e-08, 0
340891201, 0.31, 6.94e-08, 1e-08, 0
345729601, 0.0, 4.09e-08, 1e-08, 0
346334401, 0.0, 5.12e-08, 1e-08, 0
346939201, 0.0, 3.8e-08, 1e-08, 0
347544001, 0.0, 4.89e-08, 1e-08, 0
348148801, 0.0, 5.13e-08, 1e-08, 0
349358401, 0.0, 6.26e-08, 1e-08, 0
351777601, 0.0, 5.11e-08, 1e-08, 0
353592001, 0.0, 4.87e-08, 1e-08, 0
354196801, 0.0, 5.67e-08, 1e-08, 0
356616001, 0.0, 5.4e-08, 1e-08, 0
358430401, 0.0, 6.11e-08, 1e-08, 0
359640001, 0.0, 3.55e-08, 1e-08, 0
360244801, 0.04, 6.5e-08, 1e-08, 0
360849601, 0.77, 7.17e-08, 1e-08, 0
361454401, 0.01, 4.85e-08, 1e-08, 0
362059201, 0.39, 7.35e-08, 1e-08, 0
363268801, 0.0, 2.35e-08, 1e-08, 0
363873601, 0.0, 8.44e-08, 1e-08, 0
364478401, 0.14, 6.9e-08, 1e-08, 0
366292801, 0.0, 5.15e-08, 1e-08, 0
367502401, 0.0, 3.8e-08, 1e-08, 0
369921601, 0.0, 4.94e-08, 1e-08, 0
370526401, 0.0, 4.25e-08, 1e-08, 0
371131201, 0.0, 4.87e-08, 1e-08, 0
371736001, 0.0, 4.6e-08, 1e-08, 0
372340801, 0.02, 6.33e-08, 1e-08, 0
373550401, 0.0, 5.61e-08, 1e-08, 0
375364801, 0.0, 4.07e-08, 1e-08, 0
375969601, 0.0, 4.85e-08, 1e-08, 0
377784001, 0.0, 6.97e-08, 1e-08, 0
380203201, 0.2, 6.2e-08, 1e-08, 0
380808001, 0.38, 7.58e-08, 1e-08, 0
381412801, 0.77, 9.28e-08, 1e-08, 0
383227201, 0.11, 5.82e-08, 1e-08, 0
383832001, 0.74, 6.17e-08, 1e-08, 0
384436801, 0.15, 4.1e-08, 1e-08, 0
386251201, 0.0, 6.68e-08, 1e-08, 0
388065601, 0.0, 4.64e-08, 1e-08, 0
388670401, 0.39, 6.9e-08, 1e-08, 0
389880001, 0.84, 7.87e-08, 1e-08, 0
390484801, 0.0, 4.56e-08, 1e-08, 0
391089601, 0.28, 7.35e-08, 1e-08, 0
392904001, 0.0, 3.54e-08, 1e-08, 0
394113601, 0.54, 8.37e-08, 1e-08, 0
394718401, 0.0, 7.09e-08, 1e-08, 0
395323201, 0.77, 8.42e-08, 1e-08, 0
395928001, 0.01, 6.4e-08, 1e-08, 0
396532801, 0.0, 6.02e-08, 1e-08, 0
397137601, 0.0, 6.63e-08, 1e-08, 0
397742401, 0.0, 4.93e-08, 1e-08, 0
398347201, 0.72, 8.13e-08, 1e-08, 0
398952001, 0.12, 5.68e-08, 1e-08, 0
399556801, 0.0, 6.04e-08, 1e-08, 0
401976001, 0.64, 6.11e-08, 1e-08, 0
403790401, 0.42, 4.01e-08, 1e-08, 0
404395201, 0.0, 4.83e-08, 1e-08, 0
405000001, 0.17, 6.01e-08, 1e-08, 0
405604801, 0.17, 5.82e-08, 1e-08, 0
406209601, 0.0, 2.92e-08, 1e-08, 0
408024001, 0.0, 6.01e-08, 1e-08, 0
408628801, 0.0, 3.7e-08, 1e-08, 0
409233601, 0.57, 8.63e-08, 1e-08, 0
409838401, 0.0, 4.09e-08, 1e-08, 0
410443201, 0.0, 4.85e-08, 1e-08, 0
411048001, 0.0, 4.17e-08, 1e-08, 0
411652801, 0.18, 5.02e-08, 1e-08, 0
412862401, 0.0, 3.19e-08, 1e-08, 0
413467201, 0.64, 8.41e-08, 1e-08, 0
414676801, 0.0, 3.66e-08, 1e-08, 0
415281601, 0.0, 5.7e-08, 1e-08, 0
415886401, 0.0, 5.49e-08, 1e-08, 0
418910401, 0.0, 3.96e-08, 1e-08, 0
419515201, 0.54, 6.86e-08, 1e-08, 0
420724801, 0.0, 3.79e-08, 1e-08, 0
423144001, 0.0, 5.66e-08, 1e-08, 0
423748801, 0.19, 7.86e-08, 1e-08, 0
424958401, 0.74, 6.55e-08, 1e-08, 0
425563201, 0.0, 3.94e-08, 1e-08, 0
426168001, 0.0, 4.22e-08, 1e-08, 0
428587201, 0.0, 5.62e-08, 1e-08, 0
431006401, 0.0, 4.5e-08, 1e-08, 0
432216001, 0.0, 4.38e-08, 1e-08, 0
434030401, 0.0, 3.46e-08, 1e-08, 0
434635201, 0.0, 5.46e-08, 1e-08, 0
435240001, 0.0, 5.02e-08, 1e-08, 0
435844801, 0.0, 5.09e-08, 1e-08, 0
436449601, 0.53, 7.52e-08, 1e-08, 0
437659201, 0.0, 4.01e-08, 1e-08, 0
439473601, 0.0, 3.69e-08, 1e-08, 0
440683201, 0.0, 4.52e-08, 1e-08, 0
441892801, 0.0, 5.82e-08, 1e-08, 0
443707201, 0.0, 5.74e-08, 1e-08, 0
444312001, 0.06, 6.44e-08, 1e-08, 0
444916801, 0.0, 5.13e-08, 1e-08, 0
447940801, 0.79, 6.61e-08, 1e-08, 0
449150401, 0.0, 4.72e-08, 1e-08, 0
450964801, 0.0, 6.18e-08, 1e-08, 0
451569601, 0.0, 4.46e-08, 1e-08, 0
452174401, 0.0, 3.34e-08, 1e-08, 0
452779201, 0.12, 5.48e-08, 1e-08, 0
453384001, 0.0, 4.17e-08, 1e-08, 0
453988801, 0.81, 8.95e-08, 1e-08, 0
455198401, 0.0, 4.36e-08, 1e-08, 0
456408001, 0.0, 5.76e-08, 1e-08, 0
461246401, 0.18, 5.88e-08, 1e-08, 0
461851201, 0.3, 6.69e-08, 1e-08, 0
462456001, 0.0, 4.29e-08, 1e-08, 0
463060801, 0.04, 5.75e-08, 1e-08, 0
463665601, 0.0, 4.51e-08, 1e-08, 0
466084801, 0.0, 3.35e-08, 1e-08, 0
467294401, 0.0, 4.63e-08, 1e-08, 0
469713601, 0.77, 6.7e-08, 1e-08, 0
471528001, 0.0, 4.39e-08, 1e-08, 0
472132801, 0.38, 6.97e-08, 1e-08, 0
474552001, 0.0, 3.67e-08, 1e-08, 0
475156801, 0.72, 5.69e-08, 1e-08, 0
476366401, 0.0, 5.8e-08, 1e-08, 0
479995201, 0.0, 4.86e-08, 1e-08, 0
481204801, 0.0, 5.03e-08, 1e-08, 0
483019201, 0.0, 5.52e-08, 1e-08, 0
486648001, 0.0, 4.88e-08, 1e-08, 0
487252801, 0.1, 6.79e-08, 1e-08, 0
490276801, 0.0, 3.83e-08, 1e-08, 0
490881601, 0.0, 6.51e-08, 1e-08, 0
491486401, 0.86, 7.98e-08, 1e-08, 0
492091201, 0.0, 6.63e-08, 1e-08, 0
492696001, 0.0, 5.27e-08, 1e-08, 0
493905601, 0.0, 4.4e-08, 1e-08, 0
495115201, 0.0, 5.09e-08, 1e-08, 0
496929601, 0.0, 5.19e-08, 1e-08, 0
498139201, 0.81, 6e-08, 1e-08, 0
499953601, 0.0, 4.46e-08, 1e-08, 0
500558401, 0.0, 5.94e-08, 1e-08, 0
501163201, 0.0, 5.57e-08, 1e-08, 0
502977601, 0.03, 6.26e-08, 1e-08, 0
504792001, 0.93, 9.69e-08, 1e-08, 0
508420801, 0.0, 3.77e-08, 1e-08, 0
511444801, 0.41, 6.22e-08, 1e-08, 0
512049601, 0.0, 3.43e-08, 1e-08, 0
512654401, 0.0, 4.23e-08, 1e-08, 0
513864001, 0.0, 6.2e-08, 1e-08, 0
516888001, 0.0, 4.13e-08, 1e-08, 0
517492801, 0.0, 4.01e-08, 1e-08, 0
519307201, 0.0, 6.67e-08, 1e-08, 0
525355201, 0.0, 4.17e-08, 1e-08, 0
525960001, 0.0, 4.11e-08, 1e-08, 0
528379201, 0.89, 8.14e-08, 1e-08, 0
530798401, 0.67, 5.95e-08, 1e-08, 0
533822401, 0.0, 3.75e-08, 1e-08, 0
535032001, 0.0, 3.32e-08, 1e-08, 0
535636801, 0.0, 5.65e-08, 1e-08, 0
536846401, 0.0, 6.97e-08, 1e-08, 0
537451201, 0.0, 5.46e-08, 1e-08, 0
545313601, 0.0, 2.88e-07, 1e-08, 0
547732801, 0.0, 3.49e-08, 1e-08, 0
548942401, 0.0, 5.67e-08, 1e-08, 0
549547201, 0.0, 5.9e-08, 1e-08, 0
550152001, 0.0, 7.78e-08, 1e-08, 0
551361601, 0.0, 4.91e-08, 1e-08, 0
551966401, 0.0, 1.13e-07, 1e-08, 0
552571201, 0.0, 6.05e-07, 1e-08, 0
554990401, 0.2, 6.44e-08, 1e-08, 0
555595201, 0.0, 4.71e-08, 1e-08, 0
558014401, 0.0, 8.98e-08, 1e-08, 0
561038401, 0.0, 9.38e-08, 1e-08, 0
563457601, 0.0, 3.99e-08, 1e-08, 0
565272001, 0.0, 5.98e-08, 1e-08, 0
567086401, 0.0, 2.67e-07, 1e-08, 0
567691201, 0.11, 4.8e-07, 1e-08, 0
569505601, 0.0, 6.25e-08, 1e-08, 0
571320001, 0.0, 3.61e-07, 1e-08, 0
571924801, 0.49, 6.42e-07, 1e-08, 0
573739201, 0.08, 7.16e-08, 1e-08, 0
574344001, 0.11, 6.77e-08, 1e-08, 0
574948801, 0.82, 8.06e-08, 1e-08, 0
577368001, 0.0, 4.79e-08, 1e-08, 0
579182401, 0.15, 6.47e-08, 1e-08, 0
580392001, 0.0, 4.4e-08, 1e-08, 0
582206401, 0.34, 6.69e-08, 1e-08, 0
584020801, 0.0, 5.28e-08, 1e-08, 0
584625601, 0.0, 1.98e-07, 1e-08, 0
585835201, 0.0, 4.99e-07, 1e-08, 0
586440001, 0.01, 6.62e-08, 1e-08, 0
588254401, 0.0, 5.59e-08, 1e-08, 0
589464001, 0.05, 6.95e-08, 1e-08, 0
590068801, 0.0, 5.07e-08, 1e-08, 0
590673601, 0.67, 7.8e-08, 1e-08, 0
591278401, 0.46, 4.85e-08, 1e-08, 0
591883201, 0.01, 5.55e-08, 1e-08, 0
592488001, 0.04, 5.67e-08, 1e-08, 0
594302401, 0.0, 5.35e-08, 1e-08, 0
594907201, 0.05, 5.12e-08, 1e-08, 0
597326401, 0.0, 4.84e-08, 1e-08, 0
597931201, 0.0, 6.09e-08, 1e-08, 0
598536001, 0.0, 1.24e-07, 1e-08, 0
599745601, 0.0, 1.71e-06, 1e-08, 0
600350401, 0.0, 5.6e-08, 1e-08, 0
600955201, 0.0, 5.79e-08, 1e-08, 0
601560001, 0.0, 5.16e-08, 1e-08, 0
602769601, 0.0, 2.79e-07, 1e-08, 0
603979201, 0.79, 7.24e-08, 1e-08, 0
605188801, 0.0, 6.12e-08, 1e-08, 0
605793601, 0.61, 9.2e-08, 1e-08, 0
606398401, 0.36, 8.34e-08, 1e-08, 0
607003201, 0.0, 5.64e-08, 1e-08, 0
607608001, 0.0, 3.96e-08, 1e-08, 0
608212801, 0.0, 4.31e-08, 1e-08, 0
608817601, 0.0, 4.23e-08, 1e-08, 0
609422401, 0.4, 4.63e-08, 1e-08, 0
610027201, 0.0, 6.09e-08, 1e-08, 0
611841601, 0.68, 6.96e-08, 1e-08, 0
612446401, 0.02, 7.58e-08, 1e-08, 0
613051201, 0.0, 4.6e-08, 1e-08, 0
613656001, 0.19, 9.08e-08, 1e-08, 0
614260801, 0.15, 8.53e-08, 1e-08, 0
614865601, 0.0, 4.04e-08, 1e-08, 0
615470401, 0.97, 8.78e-08, 1e-08, 0
616075201, 0.58, 7.23e-08, 1e-08, 0
616680001, 0.0, 4.48e-07, 1e-08, 0
617284801, 0.0, 5.37e-07, 1e-08, 0
617889601, 0.0, 1.02e-07, 1e-08, 0
618494401, 0.04, 5.84e-08, 1e-08, 0
619704001, 0.12, 6.78e-08, 1e-08, 0
620308801, 0.47, 6.99e-08, 1e-08, 0
622123201, 0.0, 4.13e-08, 1e-08, 0
622728001, 0.8, 6.53e-08, 1e-08, 0
623332801, 0.02, 4.27e-08, 1e-08, 0
625147201, 0.0, 4.17e-08, 1e-08, 0
626356801, 0.11, 7.78e-08, 1e-08, 0
627566401, 0.0, 6.63e-08, 1e-08, 0
629380801, 0.0, 5.04e-08, 1e-08, 0
630590401, 0.0, 1.35e-06, 1e-08, 101
631195201, 0.0, 1.06e-06, 1e-08, 101
632404801, 0.0, 5.79e-08, 1e-08, 0
633614401, 0.0, 5.09e-08, 1e-08, 0
634219201, 0.0, 4.9e-08, 1e-08, 0
634824001, 0.0, 1.94e-07, 1e-08, 0
635428801, 0.5, 2.35e-07, 1e-08, 0
636033601, 0.01, 5.56e-08, 1e-08, 0
636638401, 0.0, 5.46e-08, 1e-08, 0
637243201, 0.0, 5.08e-08, 1e-08, 0
637848001, 0.0, 3.9e-08, 1e-08, 0
638452801, 0.0, 5.7e-08, 1e-08, 0
639057601, 0.03, 5.75e-08, 1e-08, 0
639662401, 0.0, 3.4e-08, 1e-08, 0
640267201, 0.02, 5.44e-08, 1e-08, 0
640872001, 0.49, 5.83e-08, 1e-08, 0
641476801, 0.17, 4.61e-08, 1e-08, 0
642081601, 0.01, 5.53e-08, 1e-08, 0
643291201, 0.01, 6.06e-08, 1e-08, 0
643896001, 0.49, 7.88e-08, 1e-08, 0
644500801, 0.0, 5.62e-08, 1e-08, 0
645105601, 0.22, 9.25e-08, 1e-08, 0
645710401, 0.0, 9.31e-08, 1e-08, 0
646315201, 0.0, 6.44e-08, 1e-08, 0
646920001, 0.0, 6.1e-08, 1e-08, 0
647524801, 0.97, 1.14e-07, 1e-08, 0
648129601, 0.0, 7.43e-08, 1e-08, 0
648734401, 0.0, 9.91e-07, 1e-08, 0
649339201, 0.0, 5.36e-07, 1e-08, 0
649944001, 0.0, 8.46e-08, 1e-08, 0
650548801, 0.89, 8.86e-08, 1e-08, 0
651153601, 0.0, 6.09e-08, 1e-08, 0
652968001, 0.0, 3.64e-08, 1e-08, 0
653572801, 0.0, 5.03e-08, 1e-08, 0
654177601, 0.82, 7.26e-08, 1e-08, 0
655992001, 0.0, 4.72e-08, 1e-08, 0
656596801, 0.11, 6.65e-08, 1e-08, 0
657806401, 0.77, 6.44e-08, 1e-08, 0
660225601, 0.31, 7.67e-08, 1e-08, 0
660830401, 0.29, 6.98e-08, 1e-08, 0
661435201, 0.37, 7.67e-08, 1e-08, 0
662644801, 0.0, 4.3e-06, 1e-08, 101
663249601, 0.0, 3.15e-06, 1e-08, 101
664459201, 0.63, 8.58e-08, 1e-08, 0
666273601, 0.0, 6.8e-08, 1e-08, 0
668088001, 0.06, 6.61e-08, 1e-08, 0
668692801, 0.0, 7.46e-08, 1e-08, 0
669297601, 0.0, 7.07e-08, 1e-08, 0
669902401, 0.0, 4.83e-08, 1e-08, 0
671112001, 0.0, 5.57e-08, 1e-08, 0
671716801, 0.21, 5.4e-08, 1e-08, 0
672321601, 0.0, 3.99e-08, 1e-08, 0
675950401, 0.0, 5.41e-08, 1e-08, 0
676555201, 0.29, 1.29e-07, 1e-08, 0
677160001, 0.02, 9.99e-08, 1e-08, 0
677764801, 0.0, 9.54e-08, 1e-08, 0
678974401, 0.0, 6.16e-08, 1e-08, 0
679579201, 0.2, 8.4e-08, 1e-08, 0
680788801, 0.0, 2.78e-07, 1e-08, 0
681393601, 0.0, 3.31e-07, 1e-08, 0
681998401, 0.01, 5.07e-08, 1e-08, 0
682603201, 0.0, 3.46e-08, 1e-08, 0
683208001, 0.0, 7.08e-08, 1e-08, 0
685022401, 0.0, 3.16e-08, 1e-08, 0
685627201, 0.0, 5.42e-08, 1e-08, 0
686232001, 0.0, 4.04e-08, 1e-08, 0
686836801, 0.02, 3.56e-08, 1e-08, 0
687441601, 0.0, 4.29e-08, 1e-08, 0
688046401, 0.0, 4.41e-08, 1e-08, 0
689256001, 0.0, 4.46e-08, 1e-08, 0
689860801, 0.48, 7.2e-08, 1e-08, 0
690465601, 0.0, 7.27e-08, 1e-08, 0
691675201, 0.0, 7.05e-08, 1e-08, 0
693489601, 0.0, 6.07e-08, 1e-08, 0
