timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
252676801, 4.6, 1.08e-07, 7.8e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
257342401, 3.2, 8.16e-08, 6.13e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
257860801, 2.89, 7.04e-08, 4.94e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
262785601, 1.84, 8.01e-08, 6.7e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
267710401, 5.16, 1.17e-07, 6.52e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
267969601, 1.55, 6.26e-08, 7.83e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
268747201, 3.91, 1.06e-07, 6.72e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
269006401, 2.62, 9.49e-08, 7e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
270302401, 4.39, 1.11e-07, 8.02e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
272376001, 1.23, 5.44e-08, 6.78e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
278078401, 2.17, 6.52e-08, 6.19e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
281188801, 1.15, 6.47e-08, 7.25e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
284817601, 1.03, 7.38e-08, 8.44e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
290520001, 3.87, 1.02e-07, 7.41e-08, 4.21, 11, 1e-08, 102, non_zero_quality
292334401, 4.82, 1.09e-07, 9.2e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
295444801, 2.33, 6.53e-08, 6.46e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
297518401, 1.86, 7.06e-08, 7.42e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
300888001, 1.14, 4.76e-08, 5.34e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
311515201, 1.97, 7.12e-08, 6.07e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
312033601, 1.92, 1e-07, 8.6e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
315403201, 1.05, 5.9e-08, 9.19e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
322142401, 2.43, 8.94e-08, 7.07e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
323956801, 3.22, 8.69e-08, 6.02e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
330436801, 3.43, 1.23e-07, 8.22e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
331214401, 5.97, 1.84e-07, 9.32e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
331992001, 5.99, 4.18e-09, 5.79e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
334843201, 2.32, 9.57e-08, 7.42e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
335361601, 5.86, 1.42e-07, 7.51e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
347803201, 1.26, 6.59e-08, 7.33e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
352987201, 1.08, 4.33e-08, 4.77e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
355060801, 1.36, 7.1e-08, 8.69e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
355320001, 3.51, 8.43e-08, 5.59e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
362318401, 2.0, 9.28e-08, 7.44e-08, 4.03, 14, 1e-08, 102, non_zero_quality
366206401, 2.8, 8.66e-08, 6.24e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
368020801, 3.43, 1.08e-07, 1.11e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
370094401, 1.05, 4.88e-08, 6.61e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
372168001, 4.33, 1.15e-07, 6.8e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
373982401, 1.12, 5.04e-08, 5.67e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
382536001, 1.62, 7.87e-08, 9.33e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
383313601, 4.19, 9.91e-08, 7.78e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
388497601, 3.49, 1.11e-07, 7.09e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
