timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
243086401, 1.76, 1.78e-07, 1.51e-07, 2.51, 0, 1e-08, 0
243345601, 6.41, 3.26e-07, 1.63e-07, 2.51, 0, 1e-08, 0
243864001, 6.12, 2.74e-07, 1.5e-07, 2.51, 0, 1e-08, 0
246196801, 1.43, 1.48e-07, 1.44e-07, 2.51, 0, 1e-08, 0
256824001, 6.55, 2.86e-07, 1.59e-07, 2.51, 0, 1e-08, 0
260193601, 1.67, 1.85e-07, 1.57e-07, 2.51, 0, 1e-08, 0
260452801, 1.47, 1.5e-07, 1.48e-07, 2.51, 0, 1e-08, 0
264081601, 3.33, 2.82e-07, 1.8e-07, 2.51, 0, 1e-08, 0
267969601, 9.4, 4.89e-07, 2.01e-07, 2.51, 0, 1e-08, 0
268228801, 2.19, 2.59e-07, 1.92e-07, 2.51, 0, 1e-08, 0
269265601, 1.54, 2.13e-07, 1.84e-07, 2.51, 0, 1e-08, 0
269524801, 1.77, 2.25e-07, 1.85e-07, 2.51, 0, 1e-08, 0
269784001, 3.46, 3.26e-07, 1.88e-07, 2.51, 0, 1e-08, 0
270561601, 1.5, 2.07e-07, 1.79e-07, 2.51, 0, 1e-08, 0
274968001, 3.16, 1.64e-07, 1.19e-07, 2.51, 0, 1e-08, 0
275227201, 5.03, 2.18e-07, 1.32e-07, 2.51, 0, 1e-08, 0
276264001, 1.66, 1.29e-07, 1.2e-07, 2.51, 0, 1e-08, 0
276782401, 3.37, 2.71e-07, 1.75e-07, 2.51, 0, 1e-08, 0
277300801, 2.77, 3.47e-07, 2.28e-07, 2.51, 0, 1e-08, 0
277560001, 2.12, 3.33e-07, 2.47e-07, 2.51, 0, 1e-08, 0
283003201, 2.29, 1.19e-07, 1.1e-07, 2.51, 0, 1e-08, 0
283780801, 3.11, 2.68e-07, 1.67e-07, 2.51, 0, 1e-08, 0
284299201, 3.71, 2.93e-07, 1.63e-07, 2.51, 0, 1e-08, 0
284558401, 2.43, 1.33e-07, 1.03e-07, 2.51, 0, 1e-08, 0
285076801, 1.34, 1.54e-07, 1.41e-07, 2.51, 0, 1e-08, 0
285336001, 8.21, 3.89e-07, 1.63e-07, 2.51, 0, 1e-08, 0
285595201, 1.71, 1.82e-07, 1.51e-07, 2.51, 0, 1e-08, 0
286632001, 1.5, 2.78e-07, 2.45e-07, 2.51, 0, 1e-08, 0
286891201, 3.46, 2.33e-07, 1.74e-07, 2.51, 0, 1e-08, 0
288446401, 3.59, 2.9e-07, 1.68e-07, 2.51, 0, 1e-08, 0
