timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
242913601, 2.2, 1.24e-07, 9.3e-08, 2.51, 0, 1e-08, 0
243518401, 4.88, 1.82e-07, 9.82e-08, 2.51, 0, 1e-08, 0
244123201, 3.12, 1.16e-07, 8.41e-08, 2.51, 0, 1e-08, 0
255614401, 1.04, 7.68e-08, 8.71e-08, 2.51, 0, 1e-08, 0
256824001, 4.51, 1.41e-07, 9.01e-08, 2.51, 0, 1e-08, 0
260452801, 3.72, 1.63e-07, 9.78e-08, 2.51, 0, 1e-08, 0
264081601, 2.83, 1.77e-07, 1.15e-07, 2.51, 0, 1e-08, 0
267710401, 1.81, 9.17e-08, 8.51e-08, 2.51, 0, 1e-08, 0
268315201, 1.87, 1.47e-07, 1.16e-07, 2.51, 0, 1e-08, 0
269524801, 6.62, 2.91e-07, 1.22e-07, 2.51, 0, 1e-08, 0
274968001, 5.38, 1.34e-07, 7.31e-08, 2.51, 0, 1e-08, 0
276782401, 5.18, 2.48e-07, 1.2e-07, 2.51, 0, 1e-08, 0
277387201, 1.93, 1.88e-07, 1.44e-07, 2.51, 0, 1e-08, 0
284040001, 1.6, 1.18e-07, 9.87e-08, 2.51, 0, 1e-08, 0
284644801, 2.84, 1.18e-07, 8.02e-08, 2.51, 0, 1e-08, 0
285249601, 9.5, 2.65e-07, 9.9e-08, 2.51, 0, 1e-08, 0
287064001, 1.46, 9.15e-08, 9.55e-08, 2.51, 0, 1e-08, 0
288273601, 1.89, 1.44e-07, 1.09e-07, 2.51, 0, 1e-08, 0
289483201, 2.48, 6.62e-08, 6.11e-08, 2.51, 0, 1e-08, 0
291902401, 1.5, 1.12e-07, 1.06e-07, 2.51, 0, 1e-08, 0
293112001, 7.28, 1.55e-07, 7.78e-08, 2.51, 0, 1e-08, 0
297345601, 2.67, 1.42e-07, 9.89e-08, 2.51, 0, 1e-08, 0
297950401, 5.23, 1.48e-07, 8.08e-08, 2.51, 0, 1e-08, 0
301579201, 1.89, 1.1e-07, 9.6e-08, 2.51, 0, 1e-08, 0
305208001, 1.53, 7.06e-08, 7.44e-08, 2.51, 0, 1e-08, 0
305812801, 1.0, 5.57e-08, 7.34e-08, 2.51, 0, 1e-08, 0
307627201, 2.05, 1.16e-07, 8.78e-08, 2.51, 0, 1e-08, 0
308836801, 5.55, 2.4e-07, 1.11e-07, 2.51, 0, 1e-08, 0
309441601, 5.81, 2.98e-07, 1.39e-07, 2.51, 0, 1e-08, 0
313675201, 4.43, 2.55e-07, 1.32e-07, 2.51, 0, 1e-08, 0
315489601, 1.44, 1.03e-07, 9.29e-08, 2.51, 0, 1e-08, 0
323352001, 1.68, 1.67e-07, 1.39e-07, 2.51, 0, 1e-08, 0
328795201, 2.38, 2.02e-07, 1.44e-07, 2.51, 0, 1e-08, 0
331819201, 2.91, 1.82e-07, 1.14e-07, 2.51, 0, 1e-08, 0
339681601, 5.5, 1.43e-07, 8.32e-08, 2.51, 0, 1e-08, 0
341496001, 1.93, 1.47e-07, 1.16e-07, 2.51, 0, 1e-08, 0
345729601, 1.38, 9.28e-08, 9.02e-08, 2.51, 0, 1e-08, 0
348148801, 1.5, 5.58e-08, 6.21e-08, 2.51, 0, 1e-08, 0
354801601, 6.64, 1.47e-07, 7.91e-08, 2.51, 0, 1e-08, 0
355406401, 6.41, 2.52e-07, 1.19e-07, 2.51, 0, 1e-08, 0
360244801, 2.36, 1.33e-07, 1.18e-07, 2.51, 0, 1e-08, 0
363268801, 3.29, 1.74e-07, 1.1e-07, 2.51, 0, 1e-08, 0
363873601, 8.05, 2.63e-07, 1.02e-07, 2.51, 0, 1e-08, 0
364478401, 1.18, 1.26e-07, 1.22e-07, 2.51, 0, 1e-08, 0
365083201, 1.21, 1.55e-07, 1.49e-07, 2.51, 0, 1e-08, 0
368107201, 1.02, 9.25e-08, 9.77e-08, 2.51, 0, 1e-08, 0
376574401, 1.79, 9.5e-08, 7.99e-08, 2.51, 0, 1e-08, 0
377784001, 1.05, 4.12e-08, 5.32e-08, 2.51, 0, 1e-08, 0
378993601, 3.46, 1.23e-07, 1.01e-07, 2.51, 0, 1e-08, 0
380808001, 1.51, 9.67e-08, 8.54e-08, 2.51, 0, 1e-08, 0
386856001, 2.32, 1.54e-07, 1.05e-07, 2.51, 0, 1e-08, 0
387460801, 3.83, 2.83e-07, 1.54e-07, 2.51, 0, 1e-08, 0
392299201, 2.73, 1.71e-07, 1.23e-07, 2.51, 0, 1e-08, 0
394113601, 1.21, 9.67e-08, 9.85e-08, 2.51, 0, 1e-08, 0
394718401, 4.24, 7.89e-08, 6.12e-08, 2.51, 0, 1e-08, 0
403185601, 2.49, 1.43e-07, 1e-07, 2.51, 0, 1e-08, 0
404395201, 2.46, 7.9e-08, 7.31e-08, 2.51, 0, 1e-08, 0
405000001, 2.68, 9.06e-08, 7.74e-08, 2.51, 0, 1e-08, 0
406209601, 1.2, 1.51e-07, 1.46e-07, 2.51, 0, 1e-08, 0
408628801, 2.85, 8.58e-08, 6.31e-08, 2.51, 0, 1e-08, 0
409838401, 1.8, 9.81e-08, 8.78e-08, 2.51, 0, 1e-08, 0
411048001, 1.06, 1.43e-07, 1.49e-07, 2.51, 0, 1e-08, 0
411652801, 7.12, 2.03e-07, 1.14e-07, 2.51, 0, 1e-08, 0
418305601, 2.01, 1.3e-07, 9.98e-08, 2.51, 0, 1e-08, 0
419515201, 1.5, 1.54e-07, 1.33e-07, 2.51, 0, 1e-08, 0
421934401, 8.73, 2.27e-07, 1e-07, 2.51, 0, 1e-08, 0
424353601, 1.71, 6.18e-08, 6.33e-08, 2.51, 0, 1e-08, 0
425563201, 2.22, 1.82e-07, 1.35e-07, 2.51, 0, 1e-08, 0
427377601, 8.23, 2.06e-07, 9e-08, 2.51, 0, 1e-08, 0
