timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
240883201, 0.0, 4.89e-08, 1e-08, 0
246067201, 0.0, 6.72e-08, 1e-08, 0
248659201, 0.0, 4.51e-08, 1e-08, 0
251251201, 0.0, 5.55e-08, 1e-08, 0
253843201, 0.0, 8.35e-08, 1e-08, 0
259027201, 0.0, 5.59e-08, 1e-08, 0
261619201, 0.0, 6.5e-08, 1e-08, 0
264211201, 0.0, 8.31e-08, 1e-08, 0
266803201, 0.01, 7.89e-08, 1e-08, 0
271987201, 0.0, 4.2e-08, 1e-08, 0
279763201, 0.0, 5.67e-08, 1e-08, 0
282355201, 0.0, 6.6e-08, 1e-08, 0
287539201, 0.12, 1.04e-07, 1e-08, 0
290131201, 0.14, 5.97e-08, 1e-08, 0
295315201, 0.0, 2.84e-08, 1e-08, 0
303091201, 0.0, 6.77e-08, 1e-08, 0
305683201, 0.34, 8.14e-08, 1e-08, 0
310867201, 0.0, 9.32e-08, 1e-08, 0
313459201, 0.0, 6.73e-08, 1e-08, 0
316051201, 0.0, 7.34e-08, 1e-08, 0
318643201, 0.97, 1.42e-07, 1e-08, 0
321235201, 0.0, 4.78e-08, 1e-08, 0
323827201, 0.0, 5.9e-08, 1e-08, 0
326419201, 0.0, 3.7e-08, 1e-08, 0
329011201, 0.02, 1.07e-07, 1e-08, 0
334195201, 0.0, 4.02e-08, 1e-08, 0
336787201, 0.0, 5.22e-08, 1e-08, 0
341971201, 0.44, 1.19e-07, 1e-08, 0
344563201, 0.0, 6.47e-08, 1e-08, 0
349747201, 0.0, 5.71e-08, 1e-08, 0
352339201, 0.0, 7.91e-08, 1e-08, 0
357523201, 0.0, 8.61e-08, 1e-08, 0
360115201, 0.0, 7.36e-08, 1e-08, 0
367891201, 0.0, 7.54e-08, 1e-08, 0
370483201, 0.03, 9.7e-08, 1e-08, 0
373075201, 0.0, 8.02e-08, 1e-08, 0
375667201, 0.42, 1e-07, 1e-08, 0
380851201, 0.0, 7.1e-08, 1e-08, 0
383443201, 0.0, 6.04e-08, 1e-08, 0
386035201, 0.5, 1.15e-07, 1e-08, 0
388627201, 0.1, 1.32e-07, 1e-08, 0
391219201, 0.0, 7.5e-08, 1e-08, 0
398995201, 0.0, 4.84e-08, 1e-08, 0
401587201, 0.0, 7.69e-08, 1e-08, 0
406771201, 0.0, 5.71e-08, 1e-08, 0
414547201, 0.0, 5.81e-08, 1e-08, 0
417139201, 0.0, 6.66e-08, 1e-08, 0
419731201, 0.1, 1.09e-07, 1e-08, 0
432691201, 0.34, 9.97e-08, 1e-08, 0
435283201, 0.63, 1.38e-07, 1e-08, 0
437875201, 0.0, 1.07e-07, 1e-08, 0
440467201, 0.43, 9.05e-08, 1e-08, 0
445651201, 0.0, 5.13e-08, 1e-08, 0
448243201, 0.0, 4.75e-08, 1e-08, 0
450835201, 0.2, 9.46e-08, 1e-08, 0
453427201, 0.0, 5.78e-08, 1e-08, 0
456019201, 0.01, 8.23e-08, 1e-08, 0
458611201, 0.0, 5.93e-08, 1e-08, 0
461203201, 0.29, 1.03e-07, 1e-08, 0
463795201, 0.89, 1.23e-07, 1e-08, 0
466387201, 0.13, 8.87e-08, 1e-08, 0
471571201, 0.0, 6e-08, 1e-08, 0
476755201, 0.0, 9.24e-08, 1e-08, 0
479347201, 0.0, 6.39e-08, 1e-08, 0
481939201, 0.0, 5.63e-08, 1e-08, 0
484531201, 0.0, 7.31e-08, 1e-08, 0
487123201, 0.8, 9.36e-08, 1e-08, 0
489715201, 0.98, 1.54e-07, 1e-08, 0
492307201, 0.0, 4.92e-08, 1e-08, 0
494899201, 0.0, 5.81e-08, 1e-08, 0
497491201, 0.0, 1.23e-07, 1e-08, 0
500083201, 0.0, 6.83e-08, 1e-08, 0
502675201, 0.0, 8.29e-08, 1e-08, 0
505267201, 0.05, 1.01e-07, 1e-08, 0
507859201, 0.0, 8.05e-08, 1e-08, 0
510451201, 0.0, 4.17e-08, 1e-08, 0
513043201, 0.01, 7.31e-08, 1e-08, 0
515635201, 0.02, 6.6e-08, 1e-08, 0
518227201, 0.0, 3.62e-08, 1e-08, 0
520819201, 0.1, 1.25e-07, 1e-08, 0
523411201, 0.8, 9.15e-08, 1e-08, 0
526003201, 0.0, 7.89e-08, 1e-08, 0
528595201, 0.39, 1.12e-07, 1e-08, 0
533779201, 0.0, 7.55e-08, 1e-08, 0
536371201, 0.0, 8.01e-08, 1e-08, 0
538963201, 0.0, 5.46e-08, 1e-08, 0
541555201, 0.0, 8.09e-08, 1e-08, 0
544147201, 0.0, 1.16e-07, 1e-08, 0
546739201, 0.0, 3.58e-08, 1e-08, 0
549331201, 0.0, 4.96e-08, 1e-08, 0
551923201, 0.13, 8.9e-08, 1e-08, 0
554515201, 0.07, 8.77e-08, 1e-08, 0
564883201, 0.0, 9.52e-08, 1e-08, 0
567475201, 0.0, 5.33e-08, 1e-08, 0
572659201, 0.0, 5.41e-08, 1e-08, 0
575251201, 0.0, 8.84e-08, 1e-08, 0
577843201, 0.0, 6.64e-08, 1e-08, 0
580435201, 0.0, 7.12e-08, 1e-08, 0
588211201, 0.0, 3.65e-08, 1e-08, 0
590803201, 0.0, 5.45e-08, 1e-08, 0
595987201, 0.0, 7.51e-08, 1e-08, 0
601171201, 0.3, 9.62e-08, 1e-08, 0
603763201, 0.0, 5.61e-08, 1e-08, 0
606355201, 0.0, 7.12e-08, 1e-08, 0
608947201, 0.0, 7.81e-08, 1e-08, 0
611539201, 0.0, 4.34e-08, 1e-08, 0
614131201, 0.0, 4.97e-08, 1e-08, 0
616723201, 0.0, 8.11e-08, 1e-08, 0
619315201, 0.77, 1e-07, 1e-08, 0
621907201, 0.0, 6.55e-08, 1e-08, 0
627091201, 0.25, 7.55e-08, 1e-08, 0
629683201, 0.0, 7.93e-08, 1e-08, 0
632275201, 0.43, 7.97e-08, 1e-08, 0
