timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
242827201, 1.83, 6.33e-08, 8.39e-08, 1.94, 0.49, 1e-08, 0
243086401, 2.56, 1.24e-07, 1.33e-07, 2.12, 0.42, 1e-08, 0
243345601, 7.13, 2.52e-07, 1.7e-07, 2.24, 0.32, 1e-08, 0
243864001, 8.38, 8.06e-08, 1.03e-07, 1.75, 0.5, 1e-08, 0
246196801, 2.01, 1.08e-07, 1.21e-07, 2.13, 0.46, 1e-08, 0
251640001, 1.32, 2.32e-07, 1.94e-07, 4.81, 3.76, 1e-08, 102
252158401, 1.64, 2.18e-07, 1.97e-06, 6.83, 2.83, 1e-08, 102
252676801, 1.01, 1.91e-07, 2.09e-07, 5.11, 4.6, 1e-08, 102
252936001, 1.29, 2.15e-07, 2.01e-07, 2.92, 0.75, 1e-08, 0
253195201, 1.01, 3.08e-08, 5.69e-08, 1.9, 0.71, 1e-08, 0
254232001, 3.65, 3.16e-08, 4.31e-08, 1.43, 0.48, 1e-08, 0
255268801, 3.49, 3.07e-08, 4.33e-08, 1.56, 0.49, 1e-08, 0
256305601, 6.58, 4.53e-07, 1.03e-06, 7.06, 0.71, 1e-08, 102
256564801, 3.0, 3.03e-07, 7.47e-07, 6.93, 0.77, 1e-08, 102
256824001, 6.76, 2.02e-07, 2.38e-07, 2.28, 0.54, 1e-08, 0
257342401, 3.29, 9.57e-09, 1.58e-08, 1.19, 0.65, 1e-08, 0
260193601, 1.88, 1.5e-07, 1.54e-07, 2.26, 0.51, 1e-08, 0
260452801, 1.53, 1.82e-08, 6.69e-08, 1.65, 1.32, 1e-08, 0
260712001, 1.69, 8.19e-08, 9.68e-08, 1.99, 0.46, 1e-08, 0
264081601, 3.82, 1.68e-07, 2.07e-07, 2.14, 0.54, 1e-08, 0
265377601, 1.05, 2.04e-07, 2.13e-07, 4.79, 2.23, 1e-08, 0
267969601, 9.64, 5.68e-07, 2.65e-07, 2.68, 0.36, 1e-08, 0
268228801, 2.42, 3.17e-07, 2.39e-07, 2.76, 0.61, 1e-08, 0
269265601, 1.56, 2.03e-07, 1.88e-07, 2.44, 0.43, 1e-08, 0
269524801, 1.77, 2.16e-07, 2.15e-07, 2.46, 0.63, 1e-08, 0
269784001, 3.67, 3.62e-07, 2.1e-07, 2.68, 0.4, 1e-08, 0
270561601, 6.46, 4.92e-07, 2.07e-07, 4.4, 1.86, 1e-08, 102
274968001, 5.77, 5.36e-08, 6.44e-08, 1.72, 0.45, 1e-08, 0
275227201, 5.23, 3.26e-07, 3.21e-07, 2.85, 0.97, 1e-08, 0
275745601, 1.64, 2.34e-07, 1.94e-07, 3.61, 1.49, 1e-08, 0
276264001, 3.0, 6.02e-08, 8.29e-08, 1.9, 0.52, 1e-08, 0
276782401, 3.9, 1.93e-07, 1.82e-07, 2.19, 0.43, 1e-08, 0
277300801, 2.89, 4.04e-07, 2.91e-07, 2.7, 0.61, 1e-08, 0
277560001, 2.18, 3.04e-07, 2.57e-07, 2.38, 0.47, 1e-08, 0
279374401, 1.5, 1.48e-08, 3.24e-08, 1.69, 0.78, 1e-08, 0
279633601, 4.03, 2.88e-07, 1.26e-06, 6.92, 1.37, 1e-08, 102
280670401, 2.77, 2.53e-07, 6.4e-07, 6.88, 0.79, 1e-08, 102
283003201, 6.03, 4.24e-08, 5.58e-08, 1.62, 0.48, 1e-08, 0
283780801, 4.44, 4.08e-07, 2.11e-07, 3.01, 0.53, 1e-08, 0
284299201, 4.14, 3.5e-07, 1.96e-07, 2.75, 2.66, 1e-08, 102
284558401, 4.57, 5.95e-08, 6.15e-08, 1.83, 0.42, 1e-08, 0
284817601, 1.04, 1.91e-07, 1.91e-07, 3.58, 2, 1e-08, 0
285076801, 1.57, 2.03e-07, 1.85e-07, 2.85, 0.79, 1e-08, 0
285336001, 8.45, 4.54e-07, 2.12e-07, 2.69, 0.38, 1e-08, 0
285595201, 1.75, 1.63e-07, 1.7e-07, 2.39, 0.57, 1e-08, 0
285854401, 2.03, 3.02e-07, 2.14e-07, 3.9, 3.26, 1e-08, 102
286632001, 1.85, 3.76e-07, 3.13e-07, 2.92, 0.84, 1e-08, 0
286891201, 4.41, 1.08e-07, 1.31e-07, 1.93, 0.55, 1e-08, 0
288446401, 5.06, 4.19e-07, 1.91e-07, 4.65, 2.05, 1e-08, 102
289742401, 7.54, 5.88e-08, 1.13e-07, 1.77, 0.69, 1e-08, 0
291556801, 1.27, 6.63e-08, 1.39e-07, 1.79, 0.85, 1e-08, 0
292075201, 1.26, 7.83e-08, 1.5e-07, 2.11, 0.86, 1e-08, 0
292852801, 1.24, 1.35e-07, 1.72e-07, 2.49, 0.65, 1e-08, 0
293371201, 13.6, 9.38e-08, 9.62e-08, 1.76, 0.4, 1e-08, 0
295444801, 1.34, 2.78e-07, 2.53e-07, 3.51, 1.19, 1e-08, 0
296740801, 2.6, 1.34e-07, 1.34e-07, 2.08, 0.42, 1e-08, 0
297000001, 1.47, 3.59e-08, 6.2e-08, 1.75, 0.61, 1e-08, 0
297518401, 3.17, 2.93e-07, 2.1e-07, 2.66, 0.48, 1e-08, 0
297777601, 1.49, 2.26e-07, 2.07e-07, 4.58, 3.83, 1e-08, 102
298036801, 7.77, 4.57e-08, 4.73e-08, 1.59, 0.41, 1e-08, 0
299073601, 1.28, 7.82e-09, 1.7e-08, 1.43, 0.81, 1e-08, 0
299592001, 2.03, 2.62e-07, 1.8e-07, 5.45, 3.11, 1e-08, 102
300369601, 3.94, 5.36e-07, 2.83e-07, 4.29, 2.34, 1e-08, 102
300628801, 1.41, 2.97e-07, 3e-06, 6.92, 3.16, 1e-08, 102
301665601, 11.3, 1.22e-07, 1.35e-07, 1.75, 0.41, 1e-08, 0
302702401, 1.02, 7.56e-08, 2.14e-07, 2.24, 1.42, 1e-08, 0
303220801, 3.55, 3.15e-07, 1.65e-07, 5.09, 2.38, 1e-08, 102
305294401, 6.33, 3.79e-08, 5.13e-08, 1.57, 0.53, 1e-08, 0
305812801, 5.48, 6.74e-08, 9.07e-08, 1.69, 0.49, 1e-08, 0
306590401, 2.52, 3.34e-07, 2.18e-07, 4.32, 2.89, 1e-08, 102
307627201, 2.1, 1.88e-07, 1.58e-07, 2.58, 0.47, 1e-08, 0
308664001, 1.98, 1.66e-07, 1.54e-07, 2.31, 0.45, 1e-08, 0
308923201, 5.16, 5.22e-07, 2.47e-07, 3.45, 0.72, 1e-08, 0
