timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
243475201, 9.57, 5.26e-08, 3.55e-08, 2.05, 0.25, 1e-08, 0
256435201, 6.34, 1.38e-08, 1.58e-08, 1.74, 0.37, 1e-08, 0
269395201, 1.89, 8.21e-08, 6.51e-08, 2.75, 0.46, 1e-08, 0
274579201, 2.24, 1.06e-08, 1.55e-08, 1.89, 0.5, 1e-08, 0
277171201, 4.36, 7.64e-08, 5.48e-08, 2.29, 0.34, 1e-08, 0
282355201, 1.12, 3.24e-09, 6.29e-09, 1.59, 0.62, 1e-08, 0
284947201, 15.98, 1.92e-07, 6.1e-08, 2.67, 0.21, 1e-08, 0
290131201, 1.03, 1.29e-09, 3.22e-09, 1.47, 0.92, 1e-08, 0
292723201, 8.75, 4.47e-08, 3.3e-08, 2.03, 0.28, 1e-08, 0
297907201, 6.11, 2.59e-08, 2.24e-08, 1.93, 0.31, 1e-08, 0
300499201, 2.85, 9.51e-10, 1.28e-09, 0.99, 0.58, 1e-08, 0
305683201, 3.06, 6.71e-09, 8.5e-09, 1.61, 0.45, 1e-08, 0
308275201, 2.03, 6.77e-08, 5.64e-08, 2.57, 0.44, 1e-08, 0
318643201, 1.54, 9.22e-08, 7.79e-08, 3.34, 1.64, 1e-08, 0
321235201, 1.06, 1.39e-09, 3.36e-09, 1.41, 0.75, 1e-08, 0
331603201, 2.83, 9.91e-08, 6.89e-08, 4.98, 3.82, 1e-08, 0
339379201, 5.59, 7.86e-09, 1.14e-08, 1.68, 0.45, 1e-08, 0
347155201, 2.19, 3.94e-08, 5.03e-08, 2.32, 0.44, 1e-08, 0
354931201, 6.76, 4.76e-08, 4.59e-08, 2.18, 0.38, 1e-08, 0
362707201, 5.11, 6.83e-08, 4.76e-08, 2.35, 0.32, 1e-08, 0
365299201, 4.14, 1.45e-07, 8e-08, 2.87, 0.5, 1e-08, 0
375667201, 2.38, 1.44e-08, 1.81e-08, 1.83, 0.42, 1e-08, 0
378259201, 4.84, 2.97e-08, 3.58e-08, 2.14, 0.4, 1e-08, 0
386035201, 1.31, 6.44e-08, 6.26e-08, 2.98, 4.21, 1e-08, 102
393811201, 5.68, 1.83e-08, 2.81e-08, 1.96, 0.49, 1e-08, 0
396403201, 1.94, 8.35e-08, 6.63e-08, 2.83, 0.51, 1e-08, 0
404179201, 10.11, 6.81e-08, 5.47e-08, 2.23, 0.3, 1e-08, 0
409363201, 6.66, 1.16e-07, 7.12e-08, 2.85, 0.58, 1e-08, 0
411955201, 10.69, 8.82e-08, 6.67e-08, 2.04, 0.29, 1e-08, 0
422323201, 6.09, 4.32e-09, 6.67e-09, 1.47, 0.55, 1e-08, 0
424915201, 2.43, 6.86e-08, 7.44e-08, 2.65, 0.6, 1e-08, 0
427507201, 7.25, 6.96e-08, 5.15e-08, 2.24, 0.3, 1e-08, 0
430099201, 2.78, 2.59e-08, 4.72e-08, 1.95, 0.59, 1e-08, 0
437875201, 1.48, 8.71e-08, 7.51e-08, 4.33, 1.41, 1e-08, 0
440467201, 1.74, 2.46e-09, 5.16e-09, 1.44, 0.72, 1e-08, 0
443059201, 20.16, 1.44e-08, 1.52e-08, 1.57, 0.33, 1e-08, 0
456019201, 2.05, 1.09e-08, 1.41e-08, 1.76, 0.4, 1e-08, 0
463795201, 1.69, 7.82e-08, 6.47e-08, 3.08, 0.9, 1e-08, 0
468979201, 3.5, 7.78e-10, 2.15e-09, 1.16, 1.06, 1e-08, 0
474163201, 2.48, 4.9e-08, 4.54e-08, 2.26, 0.35, 1e-08, 0
476755201, 1.08, 6.4e-08, 7.52e-08, 4.79, 6.65, 1e-08, 0
487123201, 1.23, 8.16e-09, 1.98e-08, 1.88, 0.85, 1e-08, 0
489715201, 1.01, 5.68e-08, 6.11e-08, 2.58, 0.72, 1e-08, 0
505267201, 2.85, 9.94e-08, 6.36e-08, 4.65, 2.26, 1e-08, 0
513043201, 1.32, 3.25e-09, 6.76e-09, 1.6, 0.67, 1e-08, 0
523411201, 1.17, 1.46e-08, 2.5e-08, 2.11, 0.63, 1e-08, 0
531187201, 2.55, 1.92e-08, 3.39e-08, 2.07, 0.54, 1e-08, 0
557107201, 6.53, 4.14e-10, 4.47e-10, 0.89, 0.5, 1e-08, 0
559699201, 7.07, 2.08e-07, 9.6e-08, 2.6, 0.34, 1e-08, 0
562291201, 3.57, 6.87e-08, 5.11e-08, 2.47, 0.31, 1e-08, 0
570067201, 5.01, 1.12e-08, 2.61e-08, 1.72, 0.74, 1e-08, 0
583027201, 2.49, 4.89e-08, 4.71e-08, 2.48, 0.43, 1e-08, 0
