timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
251640001, 1.32, 2.32e-07, 1.94e-07, 4.81, 3.76, 1e-08, 102, non_zero_quality
252158401, 1.64, 2.18e-07, 1.97e-06, 6.83, 2.83, 1e-08, 102, non_zero_quality
252676801, 1.01, 1.91e-07, 2.09e-07, 5.11, 4.6, 1e-08, 102, non_zero_quality
256305601, 6.58, 4.53e-07, 1.03e-06, 7.06, 0.71, 1e-08, 102, non_zero_quality
256564801, 3.0, 3.03e-07, 7.47e-07, 6.93, 0.77, 1e-08, 102, non_zero_quality
270561601, 6.46, 4.92e-07, 2.07e-07, 4.4, 1.86, 1e-08, 102, non_zero_quality
279633601, 4.03, 2.88e-07, 1.26e-06, 6.92, 1.37, 1e-08, 102, non_zero_quality
280670401, 2.77, 2.53e-07, 6.4e-07, 6.88, 0.79, 1e-08, 102, non_zero_quality
284299201, 4.14, 3.5e-07, 1.96e-07, 2.75, 2.66, 1e-08, 102, non_zero_quality
285854401, 2.03, 3.02e-07, 2.14e-07, 3.9, 3.26, 1e-08, 102, non_zero_quality
288446401, 5.06, 4.19e-07, 1.91e-07, 4.65, 2.05, 1e-08, 102, non_zero_quality
297777601, 1.49, 2.26e-07, 2.07e-07, 4.58, 3.83, 1e-08, 102, non_zero_quality
299592001, 2.03, 2.62e-07, 1.8e-07, 5.45, 3.11, 1e-08, 102, non_zero_quality
300369601, 3.94, 5.36e-07, 2.83e-07, 4.29, 2.34, 1e-08, 102, non_zero_quality
300628801, 1.41, 2.97e-07, 3e-06, 6.92, 3.16, 1e-08, 102, non_zero_quality
303220801, 3.55, 3.15e-07, 1.65e-07, 5.09, 2.38, 1e-08, 102, non_zero_quality
306590401, 2.52, 3.34e-07, 2.18e-07, 4.32, 2.89, 1e-08, 102, non_zero_quality
309700801, 4.98, 5.65e-07, 4.28e-07, 2.89, 2.6, 1e-08, 102, non_zero_quality
311256001, 5.05, 4.1e-07, 1.95e-07, 5.53, 2.07, 1e-08, 102, non_zero_quality
312292801, 1.51, 1.75e-07, 1.53e-06, 6.76, 2.74, 1e-08, 102, non_zero_quality
313329601, 6.98, 4.77e-07, 1.97e-07, 5.1, 1.79, 1e-08, 102, non_zero_quality
313588801, 8.58, 6.37e-07, 2.35e-07, 3.78, 1.67, 1e-08, 102, non_zero_quality
313848001, 5.86, 5.31e-07, 2.29e-07, 6.38, 1.91, 1e-08, 102, non_zero_quality
316440001, 1.63, 2.36e-07, 1.82e-07, 3.74, 3.63, 1e-08, 102, non_zero_quality
316699201, 2.16, 2.65e-07, 1.72e-07, 4.63, 2.98, 1e-08, 102, non_zero_quality
317995201, 2.49, 2.89e-07, 1.81e-07, 5.37, 2.83, 1e-08, 102, non_zero_quality
