timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
251985601, 1.37, 1.37e-07, 1.17e-06, 6.69, 2.67, 1e-08, 102, non_zero_quality
256219201, 5.85, 2.79e-07, 1.41e-06, 6.91, 1.59, 1e-08, 102, non_zero_quality
270734401, 7.69, 3.22e-07, 1.15e-07, 5.48, 1.61, 1e-08, 102, non_zero_quality
300369601, 2.43, 2.48e-07, 1.48e-07, 5.74, 2.75, 1e-08, 102, non_zero_quality
303393601, 3.08, 1.77e-07, 1.09e-07, 6.17, 2.63, 1e-08, 102, non_zero_quality
313675201, 19.67, 6.58e-07, 1.6e-07, 4.21, 1.08, 1e-08, 102, non_zero_quality
318513601, 3.24, 2.92e-07, 1.65e-07, 3.9, 2.56, 1e-08, 102, non_zero_quality
330004801, 1.24, 1.29e-07, 1.29e-07, 4.93, 4.14, 1e-08, 102, non_zero_quality
352987201, 9.68, 4.08e-07, 1.41e-07, 5.98, 1.51, 1e-08, 102, non_zero_quality
356616001, 2.75, 3.05e-07, 1.78e-07, 5.24, 2.67, 1e-08, 102, non_zero_quality
368107201, 5.12, 2.73e-07, 1.35e-07, 4.51, 2.07, 1e-08, 102, non_zero_quality
369921601, 1.09, 1.41e-09, 2.04e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
377179201, 1.02, 1.22e-07, 1.36e-07, 3.44, 4.74, 1e-08, 102, non_zero_quality
388065601, 1.95, 2.69e-07, 1.98e-07, 3.91, 3.23, 1e-08, 102, non_zero_quality
397137601, 2.62, 2.52e-07, 1.74e-06, 6.87, 2.16, 1e-08, 102, non_zero_quality
406209601, 10.02, 4.9e-07, 1.66e-07, 4.42, 1.49, 1e-08, 102, non_zero_quality
410443201, 3.3, 2.69e-07, 1.43e-07, 5.94, 2.44, 1e-08, 102, non_zero_quality
437659201, 1.17, 1.34e-07, 1.11e-07, 6.06, 3.79, 1e-08, 102, non_zero_quality
452174401, 2.74, 2.83e-07, 1.91e-07, 4.89, 2.81, 1e-08, 102, non_zero_quality
477576001, 1.18, 1.07e-07, 2.48e-06, 6.08, 3.6, 1e-08, 0, outlier_in_relative_flux
487252801, 7.55, 2.97e-07, 1.07e-07, 5.13, 1.63, 1e-08, 102, non_zero_quality
508420801, 4.28, 2.74e-07, 1.27e-07, 6.22, 2.13, 1e-08, 102, non_zero_quality
525355201, 1.5, 1.93e-07, 1.72e-07, 5.97, 3.77, 1e-08, 102, non_zero_quality
534427201, 3.03, 2.65e-07, 1.67e-07, 5.44, 2.68, 1e-08, 102, non_zero_quality
564667201, 4.95, 1.34e-06, 7e-07, 4.98, 2.27, 1e-08, 102, non_zero_quality
570715201, 6.64, 3.29e-07, 1.26e-07, 4.59, 1.74, 1e-08, 102, non_zero_quality
573134401, 5.04, 2.31e-07, 9.9e-08, 6.07, 1.96, 1e-08, 102, non_zero_quality
584020801, 5.67, 3.35e-07, 1.35e-07, 4.21, 1.86, 1e-08, 102, non_zero_quality
628171201, 1.0, NaN, NaN, NaN, NaN, 1e-08, 0, missing_flux||missing_flux_error
628776001, 1.0, NaN, NaN, NaN, NaN, 1e-08, 0, missing_flux||missing_flux_error
633009601, 3.66, 1.78e-07, 3.78e-07, 6.77, 0.67, 1e-08, 102, non_zero_quality
648129601, 5.97, 3.1e-07, 1.25e-07, 4.65, 1.83, 1e-08, 102, non_zero_quality
656596801, 5.74, 2.97e-07, 1.38e-07, 4.46, 1.96, 1e-08, 102, non_zero_quality
675950401, 3.48, 3.03e-07, 1.86e-07, 4.39, 2.51, 1e-08, 102, non_zero_quality
679579201, 4.28, 2.05e-07, 1.73e-07, 6.73, 1.24, 1e-08, 102, non_zero_quality
683812801, 3.28, 1.93e-07, 1.18e-07, 5.78, 2.57, 1e-08, 102, non_zero_quality
688046401, 4.58, 2.45e-07, 1.16e-07, 4.23, 2.12, 1e-08, 102, non_zero_quality
692884801, 1.0, 1.12e-07, 3.2e-06, 5.06, 4.45, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
706190401, 4.27, 1.88e-07, 8.4e-08, 6.94, 2.09, 1e-08, 102, non_zero_quality
719496001, 1.07, 1.12e-07, 1.6e-07, 3.11, 5.21, 1e-08, 102, non_zero_quality
724334401, 9.25, 3.39e-07, 1.11e-07, 5.08, 1.49, 1e-08, 102, non_zero_quality
726148801, 4.17, 2.77e-07, 1.33e-07, 3.79, 2.26, 1e-08, 102, non_zero_quality
728568001, 5.84, 2.62e-07, 1.21e-07, 4.6, 1.95, 1e-08, 102, non_zero_quality
739454401, 4.83, 3.59e-07, 1.79e-07, 3.85, 2.1, 1e-08, 102, non_zero_quality
