timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
242913601, 3.63, 8.19e-08, 7.52e-08, 2.07, 0.35, 1e-08, 0
243518401, 5.16, 1.45e-07, 1.1e-07, 2.31, 0.35, 1e-08, 0
244123201, 5.62, 4.25e-08, 5.44e-08, 1.82, 0.46, 1e-08, 0
253800001, 1.42, 7.1e-08, 8.11e-08, 2.11, 0.42, 1e-08, 0
255614401, 2.63, 4.04e-08, 5.7e-08, 1.9, 0.47, 1e-08, 0
256824001, 5.8, 6.12e-08, 7.57e-08, 2.0, 0.46, 1e-08, 0
257428801, 1.53, 3.68e-09, 8.52e-09, 1.27, 0.84, 1e-08, 0
260452801, 4.26, 1.08e-07, 1.03e-07, 2.19, 0.41, 1e-08, 0
264081601, 4.01, 7.35e-08, 9.46e-08, 1.9, 0.53, 1e-08, 0
267710401, 2.91, 5.57e-08, 6.62e-08, 2.03, 0.44, 1e-08, 0
268315201, 1.94, 1.67e-07, 1.51e-07, 2.64, 0.58, 1e-08, 0
269524801, 6.62, 2.92e-07, 1.34e-07, 2.52, 0.27, 1e-08, 0
274968001, 7.93, 4.98e-08, 4.76e-08, 1.85, 0.38, 1e-08, 0
276177601, 1.28, 2.67e-08, 4.37e-08, 1.93, 0.57, 1e-08, 0
276782401, 5.28, 2.76e-07, 1.51e-07, 2.63, 0.38, 1e-08, 0
277387201, 1.94, 1.78e-07, 1.59e-07, 2.45, 0.5, 1e-08, 0
279201601, 1.35, 9.31e-09, 1.91e-08, 1.64, 0.71, 1e-08, 0
282830401, 3.43, 1.39e-08, 2.27e-08, 1.56, 0.57, 1e-08, 0
283435201, 1.03, 1.43e-07, 1.47e-07, 3.63, 1.37, 1e-08, 0
284040001, 2.04, 1.55e-07, 1.19e-07, 2.78, 0.45, 1e-08, 0
284644801, 3.5, 6.79e-08, 7.6e-08, 2.1, 0.46, 1e-08, 0
285249601, 9.95, 3.19e-07, 1.29e-07, 2.72, 0.33, 1e-08, 0
287064001, 5.34, 2.59e-08, 3.43e-08, 1.47, 0.48, 1e-08, 0
288273601, 1.94, 1.55e-07, 1.25e-07, 2.61, 0.47, 1e-08, 0
289483201, 4.11, 5.22e-09, 9.37e-09, 1.29, 0.75, 1e-08, 0
291902401, 1.82, 7.13e-08, 9.86e-08, 2.15, 0.61, 1e-08, 0
293112001, 10.48, 5.95e-08, 5.48e-08, 1.85, 0.35, 1e-08, 0
297345601, 2.84, 1.09e-07, 1.16e-07, 2.32, 0.46, 1e-08, 0
297950401, 7.15, 6.07e-08, 5.93e-08, 1.91, 0.4, 1e-08, 0
299160001, 1.27, 1.32e-08, 2.85e-08, 1.71, 0.71, 1e-08, 0
301579201, 6.18, 9.76e-09, 2.44e-08, 1.26, 0.88, 1e-08, 0
305208001, 5.75, 2.08e-08, 2.36e-08, 1.47, 0.44, 1e-08, 0
305812801, 2.75, 1.78e-08, 2.99e-08, 1.65, 0.58, 1e-08, 0
307627201, 2.08, 1.24e-07, 1.03e-07, 2.58, 0.45, 1e-08, 0
308836801, 5.76, 2.75e-07, 1.39e-07, 2.66, 0.35, 1e-08, 0
309441601, 6.24, 3.56e-07, 1.71e-07, 2.73, 0.36, 1e-08, 0
315489601, 2.35, 8.33e-08, 7.5e-08, 2.14, 0.35, 1e-08, 0
316699201, 1.91, 1.64e-07, 1.26e-07, 4.16, 1.88, 1e-08, 0
322142401, 3.27, 5.66e-09, 1.09e-08, 1.35, 0.66, 1e-08, 0
323352001, 2.05, 2.29e-07, 1.83e-07, 2.87, 0.76, 1e-08, 0
328795201, 2.39, 2.07e-07, 1.66e-07, 2.54, 0.44, 1e-08, 0
330609601, 4.68, 2.6e-07, 1.27e-07, 3.72, 1.09, 1e-08, 0
331819201, 4.89, 2.9e-07, 1.4e-07, 3.06, 0.53, 1e-08, 0
332424001, 1.65, 1.61e-08, 3.1e-08, 1.64, 0.65, 1e-08, 0
339076801, 1.33, 6.26e-09, 1.37e-08, 1.61, 0.79, 1e-08, 0
339681601, 7.47, 5.72e-08, 7.46e-08, 1.96, 0.44, 1e-08, 0
340891201, 2.27, 2.76e-08, 3.8e-08, 1.84, 0.48, 1e-08, 0
341496001, 1.95, 1.57e-07, 1.66e-07, 2.58, 0.72, 1e-08, 0
343915201, 1.7, 3.04e-09, 6.81e-09, 1.28, 0.89, 1e-08, 0
345729601, 1.62, 6.41e-08, 8.87e-08, 2.22, 0.61, 1e-08, 0
348148801, 3.17, 1.95e-08, 3.3e-08, 1.75, 0.57, 1e-08, 0
354801601, 8.76, 7.23e-08, 6.77e-08, 2.01, 0.36, 1e-08, 0
355406401, 6.78, 1.86e-07, 1.45e-07, 2.26, 0.4, 1e-08, 0
357220801, 2.46, 2.3e-07, 1.55e-07, 3.59, 1.31, 1e-08, 0
360244801, 2.42, 1.7e-07, 2.29e-07, 2.66, 0.75, 1e-08, 0
361454401, 1.36, 4.01e-08, 5.69e-08, 2.02, 0.52, 1e-08, 0
362059201, 1.73, 2.97e-08, 5.43e-08, 2.01, 0.6, 1e-08, 0
363268801, 3.69, 1.31e-07, 1.12e-07, 2.23, 0.42, 1e-08, 0
363873601, 8.05, 2.65e-07, 1.25e-07, 2.52, 0.3, 1e-08, 0
364478401, 2.6, 2.51e-07, 1.64e-07, 3.53, 1.54, 1e-08, 0
365083201, 1.44, 1.97e-07, 1.79e-07, 2.78, 0.61, 1e-08, 0
373550401, 1.46, 1.7e-07, 1.49e-07, 3.34, 1.31, 1e-08, 0
375364801, 1.31, 6.91e-09, 7.7e-09, 1.26, 0.62, 1e-08, 0
375969601, 1.26, 1.86e-08, 3.63e-08, 1.85, 0.66, 1e-08, 0
376574401, 2.18, 5.56e-08, 7.73e-08, 2.14, 0.56, 1e-08, 0
377784001, 2.77, 2.43e-08, 3.54e-08, 1.85, 0.49, 1e-08, 0
378993601, 4.3, 3.28e-08, 8.32e-08, 1.88, 0.85, 1e-08, 0
380808001, 2.07, 6.99e-08, 7.81e-08, 2.14, 0.47, 1e-08, 0
386856001, 3.31, 2.19e-07, 1.27e-07, 2.92, 0.47, 1e-08, 0
387460801, 6.37, 4.45e-07, 1.85e-07, 3.28, 0.67, 1e-08, 0
392299201, 4.55, 3.46e-07, 1.81e-07, 3.3, 1, 1e-08, 0
394113601, 1.24, 1.12e-07, 1.5e-07, 2.64, 0.9, 1e-08, 0
394718401, 6.34, 1.82e-08, 3.7e-08, 1.75, 0.66, 1e-08, 0
395323201, 1.76, 1.56e-07, 1.23e-07, 3.42, 1.29, 1e-08, 0
396532801, 1.21, 1.62e-07, 1.55e-07, 3.05, 0.75, 1e-08, 0
399556801, 1.2, 9.19e-09, 1.62e-08, 1.61, 0.59, 1e-08, 0
403185601, 2.69, 1.21e-07, 1.02e-07, 2.33, 0.38, 1e-08, 0
404395201, 4.21, 1.34e-08, 2.89e-08, 1.59, 0.76, 1e-08, 0
405000001, 3.75, 3.12e-09, 7.07e-09, 1.23, 0.92, 1e-08, 0
408628801, 3.37, 1.39e-07, 1.03e-07, 2.87, 0.57, 1e-08, 0
409233601, 1.06, 1.08e-07, 1.11e-07, 4.15, 2.63, 1e-08, 0
409838401, 5.03, 5e-09, 1.04e-08, 1.16, 0.8, 1e-08, 0
411048001, 1.12, 1.23e-07, 1.57e-07, 2.35, 0.63, 1e-08, 0
411652801, 12.02, 8.3e-08, 7.59e-08, 1.79, 0.33, 1e-08, 0
418305601, 2.19, 1.6e-07, 1.28e-07, 2.72, 0.54, 1e-08, 0
419515201, 1.72, 1.41e-07, 1.25e-07, 2.31, 0.4, 1e-08, 0
420724801, 1.23, 2.48e-08, 4.23e-08, 1.87, 0.59, 1e-08, 0
421934401, 8.81, 2.53e-07, 1.37e-07, 2.61, 0.34, 1e-08, 0
422539201, 1.76, 3.21e-09, 7.49e-09, 1.32, 0.86, 1e-08, 0
423748801, 2.42, 5.43e-09, 9.57e-09, 1.44, 0.64, 1e-08, 0
424353601, 2.35, 2.52e-08, 4.57e-08, 1.99, 0.63, 1e-08, 0
424958401, 1.04, 1.55e-07, 1.66e-07, 2.84, 0.72, 1e-08, 0
425563201, 3.3, 2.83e-07, 1.7e-07, 2.97, 0.52, 1e-08, 0
427377601, 10.76, 1.05e-07, 8.6e-08, 2.0, 0.32, 1e-08, 0
427982401, 3.19, 1.68e-07, 1.27e-07, 2.43, 0.42, 1e-08, 0
428587201, 1.52, 1.67e-07, 1.47e-07, 5.77, 3.08, 1e-08, 0
429192001, 3.62, 3.05e-09, 3.51e-09, 0.66, 0.71, 1e-08, 0
429796801, 4.83, 3.49e-07, 2.05e-07, 2.7, 0.4, 1e-08, 0
431611201, 1.57, 1.88e-08, 2.89e-08, 1.8, 0.5, 1e-08, 0
432820801, 2.91, 8.73e-08, 8.47e-08, 2.22, 0.39, 1e-08, 0
433425601, 1.42, 2.09e-07, 1.81e-07, 3.93, 1.71, 1e-08, 0
434635201, 3.74, 2.03e-07, 1.38e-07, 2.2, 0.3, 1e-08, 0
438264001, 2.52, 2.94e-07, 1.97e-07, 3.3, 0.72, 1e-08, 0
439473601, 7.72, 8.78e-09, 7.94e-09, 1.1, 0.42, 1e-08, 0
442497601, 27.72, 5.31e-08, 4.49e-08, 1.59, 0.29, 1e-08, 0
448545601, 1.43, 9.15e-09, 1.57e-08, 1.51, 0.65, 1e-08, 0
456408001, 18.14, 1.63e-07, 1.02e-07, 1.95, 0.25, 1e-08, 0
458827201, 3.25, 2.01e-07, 1.24e-07, 5.7, 2.76, 1e-08, 0
462456001, 2.86, 7.77e-08, 1.16e-07, 2.2, 0.61, 1e-08, 0
463060801, 1.27, 1.42e-07, 1.4e-07, 4.6, 3.58, 1e-08, 0
464270401, 4.56, 2.03e-07, 1.2e-07, 2.63, 0.38, 1e-08, 0
