timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239716801, 3.94, 8.17e-08, 5.25e-08, 2.83, 0.8, 1e-08, 0
240235201, 1.4, 6.68e-08, 6.6e-08, 5.0, 0, 1e-08, 0
241272001, 5.25, 1.1e-07, 6.49e-08, 2.47, 0.65, 1e-08, 0
241790401, 1.34, 3.14e-08, 3.62e-08, 1.94, 0.93, 1e-08, 0
242568001, 3.97, 1.56e-08, 1.51e-08, 0.76, 0.71, 1e-08, 0
242827201, 12.69, 1.76e-07, 6.6e-08, 5.0, 0, 1e-08, 0
243345601, 3.19, 8.17e-08, 5.42e-08, 3.52, 1.08, 1e-08, 0
243604801, 3.82, 5.09e-08, 3.78e-08, 2.13, 0.67, 1e-08, 0
243864001, 3.42, 8.14e-08, 5.35e-08, 4.36, 1.33, 1e-08, 0
244123201, 5.81, 1.34e-08, 1.2e-08, 0.78, 0.69, 1e-08, 0
244382401, 1.48, 6.27e-08, 6.65e-08, 5.0, 0, 1e-08, 0
244900801, 2.53, 1.03e-07, 1.09e-07, 5.0, 0, 1e-08, 0
245419201, 2.24, 1.05e-07, 1.01e-07, 5.0, 0, 1e-08, 0
245678401, 3.96, 1.25e-07, 7.62e-08, 4.4, 1.49, 1e-08, 0
245937601, 5.22, 1.28e-07, 7.6e-08, 3.02, 1.01, 1e-08, 0
246196801, 2.14, 9e-08, 7.09e-08, 3.7, 1.57, 1e-08, 0
246974401, 4.16, 4.54e-08, 3.6e-08, 1.88, 0.67, 1e-08, 0
247233601, 1.5, 6.16e-08, 5.83e-08, 5.0, 0, 1e-08, 0
247492801, 14.84, 1.91e-07, 6.7e-08, 5.0, 0, 1e-08, 0
248011201, 2.79, 2.79e-08, 2.75e-08, 1.66, 0.85, 1e-08, 0
248270401, 4.57, 1.18e-07, 6.6e-08, 4.75, 1.54, 1e-08, 0
249307201, 2.99, 9.09e-08, 6.51e-08, 2.99, 1.06, 1e-08, 0
249566401, 8.12, 1.61e-07, 7.32e-08, 4.21, 1.06, 1e-08, 0
249825601, 4.27, 9.86e-08, 6.64e-08, 2.46, 0.84, 1e-08, 0
250084801, 4.15, 1.29e-07, 9.68e-08, 5.0, 0, 1e-08, 0
250344001, 2.18, 5.57e-08, 5.55e-08, 2.53, 1.05, 1e-08, 0
250603201, 1.6, 4.82e-09, 7.39e-09, 0.4, 1.17, 1e-08, 0
251121601, 3.5, 2.15e-08, 1.84e-08, 1.1, 0.71, 1e-08, 0
251899201, 9.05, 1.2e-07, 5.42e-08, 2.92, 0.66, 1e-08, 0
252158401, 2.7, 1.79e-08, 1.85e-08, 1.4, 0.79, 1e-08, 0
252676801, 3.1, 5.87e-08, 4.63e-08, 2.46, 0.9, 1e-08, 0
252936001, 2.1, 7.88e-08, 6.32e-08, 3.89, 2.21, 1e-08, 0
253454401, 1.02, 5.45e-08, 6.07e-08, 3.52, 1.26, 1e-08, 0
253713601, 2.45, 7.74e-08, 5.95e-08, 4.41, 2.23, 1e-08, 0
253972801, 2.69, 1.12e-07, 8.09e-08, 4.69, 2.32, 1e-08, 0
254491201, 3.21, 4.29e-08, 4.19e-08, 1.9, 0.92, 1e-08, 0
254750401, 2.96, 2.55e-08, 2.57e-08, 1.41, 0.77, 1e-08, 0
256305601, 2.93, 8.66e-08, 6.26e-08, 3.63, 2.3, 1e-08, 0
256564801, 3.65, 8.4e-08, 5.48e-08, 5.0, 0, 1e-08, 0
256824001, 2.72, 6.45e-08, 6.54e-08, 4.98, 0.51, 1e-08, 0
257342401, 1.64, 5.05e-08, 4.77e-08, 2.7, 1.34, 1e-08, 0
258897601, 1.38, 8.1e-08, 8.01e-08, 3.71, 2.23, 1e-08, 0
259416001, 11.61, 2.32e-07, 9e-08, 3.55, 0.73, 1e-08, 0
261489601, 2.13, 3.61e-08, 3.27e-08, 2.26, 0.81, 1e-08, 0
261748801, 3.92, 8.69e-08, 5.32e-08, 3.72, 1.7, 1e-08, 0
262008001, 9.5, 1.4e-07, 5.81e-08, 5.0, 0, 1e-08, 0
262526401, 2.48, 8.91e-08, 7.6e-08, 5.0, 0, 1e-08, 0
264340801, 3.44, 1.26e-07, 8.2e-08, 5.0, 0, 1e-08, 0
264859201, 2.15, 1.49e-08, 1.72e-08, 0.96, 1.01, 1e-08, 0
265377601, 3.16, 8.32e-08, 5.56e-08, 4.48, 1.72, 1e-08, 0
266155201, 1.28, 1.09e-08, 1.54e-08, 1.26, 0.96, 1e-08, 0
266932801, 5.22, 1e-07, 5.51e-08, 2.69, 0.66, 1e-08, 0
267451201, 1.94, 4.69e-08, 4.26e-08, 2.07, 0.77, 1e-08, 0
267710401, 3.53, 1.09e-07, 7.01e-08, 5.0, 0, 1e-08, 0
269265601, 4.35, 9.34e-08, 6.07e-08, 2.48, 0.77, 1e-08, 0
271339201, 1.26, 1.54e-08, 2.02e-08, 1.34, 1, 1e-08, 0
271857601, 1.33, 1.66e-08, 2.35e-08, 1.14, 1.02, 1e-08, 0
272116801, 3.24, 4.11e-08, 4.02e-08, 1.67, 0.87, 1e-08, 0
272635201, 2.13, 9.4e-08, 9.1e-08, 5.0, 0, 1e-08, 0
273672001, 1.64, 1.21e-07, 1.16e-07, 3.65, 1.35, 1e-08, 0
274449601, 1.03, 6.54e-08, 7.37e-08, 4.71, 3.47, 1e-08, 0
276004801, 3.64, 2.57e-08, 2.87e-08, 1.19, 0.96, 1e-08, 0
277041601, 8.05, 2.44e-07, 1.19e-07, 3.45, 0.68, 1e-08, 0
277300801, 1.47, 5.13e-08, 5.69e-08, 2.03, 0.93, 1e-08, 0
278337601, 2.36, 1.42e-07, 1.14e-07, 4.19, 2.25, 1e-08, 0
278856001, 7.42, 2.53e-08, 2.4e-08, 0.86, 0.71, 1e-08, 0
279374401, 1.1, 5.3e-08, 5.81e-08, 5.0, 0, 1e-08, 0
279633601, 5.01, 1.21e-07, 8.01e-08, 5.0, 0, 1e-08, 0
280152001, 2.04, 1.24e-08, 1.85e-08, 0.99, 1.13, 1e-08, 0
281448001, 2.85, 1.25e-07, 9.12e-08, 4.24, 2.22, 1e-08, 0
281707201, 2.31, 1.04e-07, 8.71e-08, 2.74, 0.84, 1e-08, 0
282225601, 7.83, 2.61e-07, 1.26e-07, 3.26, 0.65, 1e-08, 0
282484801, 1.04, 7.89e-08, 9.8e-08, 2.92, 1.37, 1e-08, 0
283003201, 3.08, 1.34e-07, 9.42e-08, 3.87, 1.35, 1e-08, 0
283780801, 4.42, 1.59e-08, 1.69e-08, 0.77, 0.82, 1e-08, 0
285336001, 3.87, 4.44e-08, 3.34e-08, 1.79, 0.66, 1e-08, 0
286113601, 1.0, 7.12e-08, 8.27e-08, 4.11, 1.76, 1e-08, 0
286632001, 2.43, 2.49e-08, 2.8e-08, 0.87, 0.98, 1e-08, 0
286891201, 2.23, 1.54e-07, 1.25e-07, 3.51, 1.24, 1e-08, 0
287150401, 6.08, 2.76e-07, 1.47e-07, 5.0, 0, 1e-08, 0
288187201, 3.37, 3.45e-08, 3.07e-08, 1.66, 0.72, 1e-08, 0
288964801, 7.5, 1.23e-07, 5.71e-08, 3.15, 0.61, 1e-08, 0
289483201, 4.05, 4.91e-08, 3.46e-08, 1.95, 0.64, 1e-08, 0
289742401, 7.08, 8.32e-08, 4.98e-08, 2.18, 0.63, 1e-08, 0
290520001, 3.14, 7.44e-09, 8.74e-09, 0.53, 0.84, 1e-08, 0
291038401, 3.26, 1.14e-07, 8.02e-08, 3.34, 0.97, 1e-08, 0
292334401, 1.22, 1.76e-07, 1.94e-07, 4.47, 1.75, 1e-08, 0
293112001, 2.31, 6.89e-08, 5.41e-08, 3.96, 2.3, 1e-08, 0
294148801, 1.03, 4.38e-08, 4.91e-08, 3.65, 2.26, 1e-08, 0
294408001, 2.95, 7.57e-08, 5.35e-08, 3.47, 1.32, 1e-08, 0
294667201, 4.86, 8.93e-08, 5.29e-08, 2.85, 0.86, 1e-08, 0
296222401, 1.14, 8.76e-08, 1.28e-07, 5.0, 0, 1e-08, 0
296481601, 1.3, 6.73e-08, 6.95e-08, 4.48, 2.32, 1e-08, 0
296740801, 1.28, 2.77e-08, 4.21e-08, 2.04, 1.18, 1e-08, 0
297000001, 1.21, 6.5e-08, 7.09e-08, 2.82, 1.09, 1e-08, 0
297259201, 13.53, 3.04e-07, 1.07e-07, 4.55, 0.94, 1e-08, 0
297518401, 2.39, 9.16e-08, 7.14e-08, 3.71, 1.29, 1e-08, 0
297777601, 2.33, 7.83e-08, 6.18e-08, 5.0, 0, 1e-08, 0
298555201, 1.02, 3.73e-08, 4.25e-08, 3.75, 1.73, 1e-08, 0
299073601, 3.67, 3.72e-08, 3.58e-08, 1.65, 0.75, 1e-08, 0
299332801, 1.1, 5.08e-08, 5.63e-08, 5.0, 0, 1e-08, 0
299592001, 5.73, 1.35e-08, 1.31e-08, 0.82, 0.77, 1e-08, 0
300110401, 2.31, 1.29e-07, 1.02e-07, 4.55, 2.25, 1e-08, 0
300369601, 2.9, 4.47e-08, 4.69e-08, 1.75, 0.79, 1e-08, 0
300628801, 7.26, 2.71e-07, 1.4e-07, 3.3, 0.83, 1e-08, 0
301147201, 4.46, 1.02e-07, 7.68e-08, 1.83, 0.61, 1e-08, 0
301665601, 4.0, 1.66e-07, 1.04e-07, 5.0, 0, 1e-08, 0
301924801, 2.37, 1.83e-08, 2.35e-08, 1.26, 0.99, 1e-08, 0
303480001, 5.75, 4.52e-08, 3.3e-08, 2.03, 0.6, 1e-08, 0
304516801, 2.67, 4.38e-08, 4.63e-08, 1.39, 0.87, 1e-08, 0
305035201, 2.86, 3.11e-08, 3.07e-08, 0.75, 0.67, 1e-08, 0
306331201, 5.98, 1.24e-07, 1.01e-07, 2.33, 0.89, 1e-08, 0
307368001, 4.15, 2.6e-08, 2.42e-08, 1.29, 0.71, 1e-08, 0
310219201, 2.88, 1.53e-07, 1.12e-07, 3.85, 2.33, 1e-08, 0
312033601, 1.07, 4.25e-08, 4.66e-08, 4.3, 2.27, 1e-08, 0
312811201, 1.07, 2.7e-08, 3.52e-08, 2.65, 1.47, 1e-08, 0
313070401, 1.67, 2.59e-08, 3.13e-08, 1.71, 0.92, 1e-08, 0
313329601, 1.69, 5.57e-08, 5.42e-08, 2.68, 1.1, 1e-08, 0
313848001, 2.12, 3.24e-08, 3.9e-08, 1.51, 0.79, 1e-08, 0
314366401, 2.94, 1.69e-07, 1.19e-07, 5.0, 0, 1e-08, 0
314625601, 2.8, 1.7e-07, 1.24e-07, 4.48, 2.13, 1e-08, 0
315403201, 3.44, 1.49e-07, 1e-07, 5.0, 0, 1e-08, 0
316958401, 3.05, 2.81e-09, 5.57e-09, 0.02, 0.37, 1e-08, 0
317217601, 8.51, 1.72e-08, 1.39e-08, 0.89, 0.64, 1e-08, 0
317736001, 3.05, 7.62e-08, 5.46e-08, 2.92, 1.06, 1e-08, 0
318254401, 1.33, 6.68e-08, 7.19e-08, 3.02, 1.53, 1e-08, 0
319032001, 2.02, 1.12e-07, 9.38e-08, 3.28, 1, 1e-08, 0
320328001, 6.19, 1.87e-07, 1.15e-07, 5.0, 0, 1e-08, 0
320587201, 3.69, 1.14e-07, 7.39e-08, 5.0, 0, 1e-08, 0
320846401, 2.23, 6.82e-08, 5.5e-08, 5.0, 0, 1e-08, 0
321883201, 2.18, 6.15e-08, 4.84e-08, 2.98, 0.91, 1e-08, 0
323438401, 6.02, 1.9e-07, 1.1e-07, 3.18, 0.81, 1e-08, 0
324475201, 12.1, 2.42e-07, 8.8e-08, 4.42, 0.79, 1e-08, 0
325252801, 3.87, 2.45e-08, 2.75e-08, 1.17, 0.86, 1e-08, 0
325512001, 1.79, 6.19e-08, 5.42e-08, 4.34, 1.43, 1e-08, 0
327326401, 2.65, 1.15e-07, 8.8e-08, 5.0, 0, 1e-08, 0
328363201, 8.56, 7.32e-09, 7.39e-09, 0.0, 0, 1e-08, 0
328622401, 6.76, 1.22e-07, 8.92e-08, 1.87, 0.64, 1e-08, 0
329140801, 1.68, 7.78e-08, 8.13e-08, 2.38, 1.12, 1e-08, 0
329918401, 2.68, 4.22e-08, 4.25e-08, 1.74, 0.88, 1e-08, 0
330177601, 7.42, 2.52e-08, 1.75e-08, 1.17, 0.55, 1e-08, 0
330696001, 6.01, 1.02e-07, 5.3e-08, 2.99, 0.84, 1e-08, 0
331214401, 9.92, 8.44e-08, 3.97e-08, 1.91, 0.45, 1e-08, 0
331473601, 9.85, 9.17e-08, 5.01e-08, 2.06, 0.52, 1e-08, 0
331732801, 10.12, 1.86e-07, 7.7e-08, 5.0, 0, 1e-08, 0
331992001, 6.37, 3.44e-08, 2.89e-08, 1.13, 0.66, 1e-08, 0
332251201, 5.44, 1.6e-07, 1e-07, 2.86, 0.92, 1e-08, 0
332510401, 2.24, 7.96e-08, 9.32e-08, 2.48, 1.3, 1e-08, 0
333028801, 15.59, 4.3e-07, 1.53e-07, 5.0, 0, 1e-08, 0
333288001, 8.21, 2.41e-07, 1.17e-07, 3.27, 0.81, 1e-08, 0
333547201, 11.3, 3.53e-08, 3.66e-08, 0.89, 0.78, 1e-08, 0
333806401, 14.99, 1.85e-07, 1.02e-07, 2.29, 0.52, 1e-08, 0
334065601, 23.5, 3.96e-07, 1.14e-07, 4.29, 0.81, 1e-08, 0
334324801, 3.01, 7.15e-08, 6.04e-08, 2.76, 0.98, 1e-08, 0
