timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
243345601, 2.98, 6.52e-08, 4.66e-08, 3.42, 3.85, 1e-08, 102, non_zero_quality
249566401, 3.14, 8.57e-08, 1.19e-07, 3.21, 4.12, 1e-08, 102, non_zero_quality
251380801, 1.61, 5.82e-08, 4.78e-08, 4.06, 4.5, 1e-08, 102, non_zero_quality
252676801, 6.0, 1.29e-07, 6.42e-08, 4.59, 2.49, 1e-08, 102, non_zero_quality
254491201, 2.2, 9.38e-08, 7e-08, 4.74, 3.86, 1e-08, 102, non_zero_quality
265377601, 10.21, 1.44e-07, 8.71e-08, 3.38, 2.32, 1e-08, 102, non_zero_quality
266155201, 3.18, 7.25e-08, 5.58e-08, 3.18, 3.76, 1e-08, 102, non_zero_quality
266414401, 4.47, 1.08e-07, 6.22e-08, 3.86, 2.93, 1e-08, 102, non_zero_quality
267192001, 1.05, 4.91e-08, 5.89e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
268488001, 1.26, 4.63e-08, 1.19e-07, 3.27, 6.81, 1e-08, 102, non_zero_quality
275486401, 3.93, 6.45e-08, 1.36e-07, 2.81, 4.35, 1e-08, 102, non_zero_quality
276523201, 2.63, 1.02e-07, 7.2e-08, 4.26, 3.78, 1e-08, 102, non_zero_quality
279115201, 6.95, 1.43e-07, 7.39e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
290260801, 2.2, 9.39e-08, 6.91e-08, 4.51, 3.93, 1e-08, 102, non_zero_quality
292852801, 1.44, 5.35e-08, 7.03e-08, 3.93, 5.33, 1e-08, 102, non_zero_quality
297777601, 3.95, 8.34e-08, 5.34e-08, 4.07, 3.25, 1e-08, 102, non_zero_quality
301147201, 7.99, 2.99e-07, 1.5e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
303220801, 8.43, 1.22e-07, 8.13e-08, 3.46, 2.44, 1e-08, 102, non_zero_quality
307368001, 10.32, 2.82e-09, 4.11e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
310737601, 1.25, 7.14e-08, 7.24e-08, 4.18, 5.36, 1e-08, 102, non_zero_quality
315403201, 4.05, 1.29e-07, 8.52e-08, 4.08, 3.04, 1e-08, 102, non_zero_quality
320328001, 5.88, 1.34e-07, 9.51e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
325771201, 1.52, 3.73e-08, 5.96e-08, 3.04, 5.82, 1e-08, 102, non_zero_quality
328622401, 1.34, 8.18e-08, 1e-07, 3.47, 5.65, 1e-08, 102, non_zero_quality
329140801, 1.96, 1.03e-07, 9.62e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
337953601, 3.13, 1.66e-07, 1.13e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
343396801, 16.04, 2.82e-09, 2.88e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
344952001, 1.33, 3.63e-08, 5.27e-08, 3.14, 6.11, 1e-08, 102, non_zero_quality
347803201, 6.06, 1.55e-07, 8.12e-08, 4.62, 2.65, 1e-08, 102, non_zero_quality
348062401, 2.35, 6.47e-08, 5.03e-08, 3.43, 4.29, 1e-08, 102, non_zero_quality
351432001, 1.7, 1.07e-07, 1.12e-07, 3.67, 4.85, 1e-08, 102, non_zero_quality
351950401, 2.91, 1.35e-07, 1.22e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
356875201, 2.61, 9.7e-08, 1.39e-07, 3.68, 4.29, 1e-08, 102, non_zero_quality
357912001, 1.6, 5.23e-08, 5.09e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
362318401, 2.18, 6.09e-08, 4.5e-08, 3.82, 4.07, 1e-08, 102, non_zero_quality
366984001, 2.81, 6.18e-08, 5.31e-08, 3.57, 4.01, 1e-08, 102, non_zero_quality
369835201, 1.34, 1e-07, 1.05e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
375796801, 7.9, 1.33e-07, 6.6e-08, 3.46, 2.42, 1e-08, 102, non_zero_quality
376315201, 3.77, 8.02e-08, 4.89e-08, 4.11, 3.16, 1e-08, 102, non_zero_quality
377611201, 1.11, 6.02e-08, 7.3e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
378129601, 1.07, 5.37e-08, 6.23e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
378648001, 11.51, 3.11e-07, 1.19e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
380721601, 1.0, NaN, NaN, NaN, NaN, 1e-08, 0, missing_flux||missing_flux_error
381499201, 4.12, 7.76e-08, 5.43e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
384091201, 3.24, 2.1e-07, 1.47e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
384350401, 1.25, 1.46e-07, 4.92e-07, 2.97, 6.79, 1e-08, 102, non_zero_quality
394977601, 1.56, 4.52e-08, 4.44e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
398865601, 3.77, 8.98e-08, 6.63e-08, 3.24, 3.46, 1e-08, 102, non_zero_quality
400161601, 4.39, 9.59e-08, 6.69e-08, 3.83, 3.14, 1e-08, 102, non_zero_quality
401976001, 6.13, 2.1e-07, 1.21e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
402494401, 8.42, 1.93e-07, 1.33e-07, 3.77, 2.47, 1e-08, 102, non_zero_quality
408196801, 1.96, 4.21e-08, 3.72e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
408715201, 25.91, 2.8e-09, 2.03e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
410011201, 1.77, 7.43e-08, 1.09e-07, 3.44, 5.14, 1e-08, 102, non_zero_quality
414936001, 4.21, 1.83e-07, 1.12e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
418564801, 1.35, 5.71e-08, 5.31e-08, 4.1, 4.85, 1e-08, 102, non_zero_quality
419860801, 1.82, 1.17e-07, 1.06e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
420379201, 2.56, 1.52e-07, 1.66e-07, 3.38, 4, 1e-08, 102, non_zero_quality
420897601, 6.35, 2.02e-07, 1.41e-07, 3.38, 2.73, 1e-08, 102, non_zero_quality
431265601, 1.63, 4.86e-08, 4.06e-08, 4.17, 4.66, 1e-08, 102, non_zero_quality
435672001, 6.13, 1.04e-07, 5.92e-08, 3.37, 2.81, 1e-08, 102, non_zero_quality
439041601, 1.66, 1.15e-07, 1.18e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
441115201, 1.92, 4.82e-08, 5.46e-08, 3.26, 4.87, 1e-08, 102, non_zero_quality
449409601, 3.95, 7.87e-08, 6.05e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
450705601, 4.25, 8.23e-08, 6.46e-08, 3.23, 3.32, 1e-08, 102, non_zero_quality
465739201, 2.24, 1.26e-07, 1.86e-07, 3.36, 4.27, 1e-08, 102, non_zero_quality
467294401, 1.75, 6.83e-08, 6.69e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
471441601, 3.07, 1.11e-07, 1e-07, 3.58, 3.85, 1e-08, 102, non_zero_quality
471960001, 21.69, 4.55e-09, 5.45e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
473256001, 3.64, 6.63e-08, 5.29e-08, 3.58, 3.59, 1e-08, 102, non_zero_quality
478440001, 6.2, 1.07e-07, 1.12e-07, 3.33, 3.14, 1e-08, 102, non_zero_quality
478699201, 2.04, 7.65e-08, 6.97e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
482328001, 2.94, 7.14e-08, 5.35e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
484142401, 1.4, 1.11e-07, 1.22e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
484660801, 1.92, 1.33e-07, 1.52e-07, 4.11, 4.7, 1e-08, 102, non_zero_quality
490363201, 5.66, 9.13e-08, 1.51e-07, 3.2, 3.61, 1e-08, 102, non_zero_quality
493473601, 2.07, 1.19e-07, 1.17e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
495028801, 21.25, 5.53e-09, 5.57e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
496065601, 3.84, 8.12e-08, 5.79e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
498139201, 2.67, 1.91e-07, 2.27e-07, 3.51, 4.41, 1e-08, 102, non_zero_quality
504619201, 3.06, 6.26e-08, 8.52e-08, 3.19, 4.25, 1e-08, 102, non_zero_quality
514468801, 7.17, 1.08e-07, 5.22e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
514987201, 2.92, 9.82e-08, 7.6e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
518356801, 1.4, 4.47e-08, 4.78e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
523281601, 1.34, 3.31e-08, 3.57e-08, 2.98, 5.85, 1e-08, 102, non_zero_quality
527428801, 6.86, 1.1e-07, 5.29e-08, 3.92, 2.48, 1e-08, 102, non_zero_quality
527947201, 2.63, 6.89e-08, 5.7e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
528206401, 4.46, 1.06e-07, 5.92e-08, 4.14, 2.78, 1e-08, 102, non_zero_quality
528465601, 2.17, 5.23e-08, 3.93e-08, 3.97, 4.25, 1e-08, 102, non_zero_quality
532094401, 1.79, 4.58e-08, 4.27e-08, 3.63, 4.79, 1e-08, 102, non_zero_quality
534427201, 2.26, 1.21e-07, 1.06e-07, 3.34, 4.03, 1e-08, 102, non_zero_quality
539352001, 7.79, 1.84e-07, 9.21e-08, 3.95, 2.32, 1e-08, 102, non_zero_quality
540907201, 6.99, 1.07e-07, 7.8e-08, 3.14, 2.79, 1e-08, 102, non_zero_quality
545054401, 2.06, 5.62e-08, 4.86e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
546350401, 4.89, 4.99e-08, 5.93e-08, 3.09, 3.45, 1e-08, 102, non_zero_quality
551016001, 1.47, 3.02e-08, 4.06e-08, 3.2, 5.44, 1e-08, 102, non_zero_quality
571752001, 1.19, 6.85e-08, 5.09e-07, 4.73, 7.62, 1e-08, 1, non_zero_quality||outlier_in_relative_flux
572788801, 7.22, 9.95e-08, 1.35e-07, 3.41, 3.15, 1e-08, 102, non_zero_quality
575899201, 1.7, 1.32e-07, 1.31e-07, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
584193601, 8.06, 4.61e-09, 4.71e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
586526401, 1.88, 8.17e-08, 7.01e-08, 4.06, 4.41, 1e-08, 102, non_zero_quality
587563201, 3.41, 7.63e-08, 4.57e-08, 4.61, 3.24, 1e-08, 102, non_zero_quality
588859201, 2.8, 8.46e-08, 1.52e-07, 3.69, 4.21, 1e-08, 102, non_zero_quality
591710401, 5.43, 3.43e-09, 3.53e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
594820801, 4.02, 1.04e-07, 6.4e-08, 3.71, 3.25, 1e-08, 102, non_zero_quality
595857601, 2.19, 4.18e-08, 9.91e-08, 3.34, 5.37, 1e-08, 102, non_zero_quality
600782401, 2.84, 6.04e-08, 4.78e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
601819201, 1.28, 6.1e-08, 6.8e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
602078401, 2.86, 9.25e-08, 6.86e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
602856001, 9.98, 2.83e-07, 1.14e-07, 4.54, 1.96, 1e-08, 102, non_zero_quality
606744001, 4.63, 1.64e-07, 1.05e-07, 4.24, 2.94, 1e-08, 102, non_zero_quality
612446401, 1.51, 7.52e-08, 7.79e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
