timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239889601, 13.08, 4.83e-08, 2.1e-08, 2.14, 0, 1e-08, 0
240494401, 11.1, 3.2e-08, 1.65e-08, 2.14, 0, 1e-08, 0
241099201, 7.11, 1.62e-08, 1.12e-08, 2.14, 0, 1e-08, 0
241704001, 10.13, 3.81e-08, 1.88e-08, 2.14, 0, 1e-08, 0
242308801, 6.29, 2.74e-08, 1.49e-08, 2.14, 0, 1e-08, 0
242913601, 25.67, 5.59e-08, 2.05e-08, 2.14, 0, 1e-08, 0
243518401, 9.06, 3.8e-08, 2.03e-08, 2.14, 0, 1e-08, 0
244123201, 5.24, 2.19e-08, 1.53e-08, 2.14, 0, 1e-08, 0
244728001, 9.4, 3.18e-08, 1.84e-08, 2.14, 0, 1e-08, 0
245332801, 8.6, 2.7e-08, 1.67e-08, 2.14, 0, 1e-08, 0
245937601, 3.51, 2.13e-08, 1.42e-08, 2.14, 0, 1e-08, 0
246542401, 27.88, 4.7e-08, 1.9e-08, 2.14, 0, 1e-08, 0
247147201, 3.24, 1.44e-08, 1.15e-08, 2.14, 0, 1e-08, 0
248356801, 11.03, 1.79e-08, 1.08e-08, 2.14, 0, 1e-08, 0
248961601, 6.95, 5.9e-08, 2.77e-08, 2.14, 0, 1e-08, 0
250171201, 5.3, 2.88e-08, 1.72e-08, 2.14, 0, 1e-08, 0
250776001, 4.53, 2.31e-08, 1.5e-08, 2.14, 0, 1e-08, 0
251380801, 21.1, 4.48e-08, 1.7e-08, 2.14, 0, 1e-08, 0
251985601, 14.93, 5.57e-08, 2.01e-08, 2.14, 0, 1e-08, 0
252590401, 7.6, 3.42e-08, 1.69e-08, 2.14, 0, 1e-08, 0
253800001, 4.22, 3.71e-08, 2.25e-08, 2.14, 0, 1e-08, 0
254404801, 4.11, 2.99e-08, 1.94e-08, 2.14, 0, 1e-08, 0
255009601, 15.0, 5.03e-08, 2.08e-08, 2.14, 0, 1e-08, 0
255614401, 7.2, 3.46e-08, 1.75e-08, 2.14, 0, 1e-08, 0
256219201, 13.51, 4.08e-08, 1.74e-08, 2.14, 0, 1e-08, 0
256824001, 9.89, 2.32e-08, 1.18e-08, 2.14, 0, 1e-08, 0
257428801, 4.34, 2.79e-08, 1.69e-08, 2.14, 0, 1e-08, 0
258033601, 14.5, 4e-08, 1.83e-08, 2.14, 0, 1e-08, 0
259243201, 4.1, 2.28e-08, 1.56e-08, 2.14, 0, 1e-08, 0
259848001, 23.18, 4.24e-08, 1.67e-08, 2.14, 0, 1e-08, 0
261057601, 6.81, 2.53e-08, 1.49e-08, 2.14, 0, 1e-08, 0
261662401, 22.2, 3.88e-08, 1.5e-08, 2.14, 0, 1e-08, 0
262267201, 7.6, 3.1e-08, 1.8e-08, 2.14, 0, 1e-08, 0
262872001, 12.28, 2.67e-08, 1.71e-08, 2.14, 0, 1e-08, 0
264081601, 3.55, 2.31e-08, 1.72e-08, 2.14, 0, 1e-08, 0
265291201, 3.82, 2.98e-08, 1.83e-08, 2.14, 0, 1e-08, 0
265896001, 32.13, 4.23e-08, 1.54e-08, 2.14, 0, 1e-08, 0
266500801, 16.24, 3.21e-08, 1.55e-08, 2.14, 0, 1e-08, 0
