timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
242049601, 1.37, 2.21e-08, 2.59e-08, 2.38, 0, 1e-08, 0
244641601, 4.08, 3.05e-08, 2.55e-08, 2.38, 0, 1e-08, 0
244900801, 2.2, 5.49e-08, 4.42e-08, 2.38, 0, 1e-08, 0
245937601, 2.12, 3.45e-08, 3.61e-08, 2.38, 0, 1e-08, 0
246974401, 11.28, 3.85e-08, 2.24e-08, 2.38, 0, 1e-08, 0
248011201, 1.55, 3.64e-08, 3.37e-08, 2.38, 0, 1e-08, 0
252676801, 4.04, 5.44e-08, 3.42e-08, 2.38, 0, 1e-08, 0
253972801, 1.03, 3.54e-08, 4e-08, 2.38, 0, 1e-08, 0
254750401, 2.69, 4.98e-08, 4.36e-08, 2.38, 0, 1e-08, 0
255268801, 2.25, 1.98e-08, 2.18e-08, 2.38, 0, 1e-08, 0
256305601, 1.59, 3.31e-08, 3.09e-08, 2.38, 0, 1e-08, 0
258897601, 6.51, 1.41e-07, 7.02e-08, 2.38, 0, 1e-08, 0
261748801, 2.43, 1.79e-08, 1.83e-08, 2.38, 0, 1e-08, 0
263044801, 1.41, 2.58e-08, 2.97e-08, 2.38, 0, 1e-08, 0
267710401, 1.57, 2.6e-08, 2.74e-08, 2.38, 0, 1e-08, 0
269784001, 7.65, 3.94e-08, 3.02e-08, 2.38, 0, 1e-08, 0
270561601, 1.89, 1.74e-08, 1.88e-08, 2.38, 0, 1e-08, 0
272894401, 1.09, 2.67e-08, 3.26e-08, 2.38, 0, 1e-08, 0
279115201, 2.02, 5.76e-08, 4.76e-08, 2.38, 0, 1e-08, 0
281448001, 1.1, 2.75e-08, 3.09e-08, 2.38, 0, 1e-08, 0
284817601, 1.3, 2.98e-08, 3.25e-08, 2.38, 0, 1e-08, 0
288187201, 1.75, 4.97e-08, 4.4e-08, 2.38, 0, 1e-08, 0
289483201, 2.8, 4.48e-08, 3.56e-08, 2.38, 0, 1e-08, 0
290001601, 8.46, 7.94e-08, 5.06e-08, 2.38, 0, 1e-08, 0
291038401, 4.8, 5.5e-08, 3.29e-08, 2.38, 0, 1e-08, 0
293371201, 1.77, 4.28e-08, 3.86e-08, 2.38, 0, 1e-08, 0
294667201, 19.25, 9.58e-08, 3.8e-08, 2.38, 0, 1e-08, 0
302184001, 1.88, 3.21e-08, 3.02e-08, 2.38, 0, 1e-08, 0
302443201, 5.18, 8.46e-08, 4.73e-08, 2.38, 0, 1e-08, 0
306072001, 1.93, 3.72e-08, 3.32e-08, 2.38, 0, 1e-08, 0
306849601, 1.52, 4.5e-08, 4.48e-08, 2.38, 0, 1e-08, 0
307886401, 1.26, 2.89e-08, 3.19e-08, 2.38, 0, 1e-08, 0
317217601, 8.27, 8.15e-08, 4.15e-08, 2.38, 0, 1e-08, 0
317736001, 6.04, 7.42e-08, 3.96e-08, 2.38, 0, 1e-08, 0
319809601, 1.16, 2.98e-08, 3.29e-08, 2.38, 0, 1e-08, 0
324993601, 1.82, 5.38e-08, 5.51e-08, 2.38, 0, 1e-08, 0
326808001, 5.43, 6.03e-08, 3.91e-08, 2.38, 0, 1e-08, 0
328622401, 1.65, 3.97e-08, 3.85e-08, 2.38, 0, 1e-08, 0
329140801, 1.44, 2.95e-08, 3.11e-08, 2.38, 0, 1e-08, 0
329400001, 2.32, 2.73e-08, 2.68e-08, 2.38, 0, 1e-08, 0
330436801, 2.19, 4.42e-08, 3.83e-08, 2.38, 0, 1e-08, 0
331732801, 1.31, 2.33e-08, 2.59e-08, 2.38, 0, 1e-08, 0
333288001, 2.02, 4.08e-08, 3.48e-08, 2.38, 0, 1e-08, 0
335102401, 2.45, 4.07e-08, 3.91e-08, 2.38, 0, 1e-08, 0
336657601, 8.76, 1.12e-07, 5.3e-08, 2.38, 0, 1e-08, 0
337176001, 14.29, 7.63e-08, 2.95e-08, 2.38, 0, 1e-08, 0
338212801, 6.65, 4.56e-08, 3.73e-08, 2.38, 0, 1e-08, 0
340027201, 1.08, 3.29e-08, 4.46e-08, 2.38, 0, 1e-08, 0
341323201, 1.21, 2.25e-08, 2.71e-08, 2.38, 0, 1e-08, 0
341841601, 1.37, 3.83e-08, 3.96e-08, 2.38, 0, 1e-08, 0
342360001, 5.7, 6.43e-08, 3.46e-08, 2.38, 0, 1e-08, 0
342619201, 2.53, 3.17e-08, 2.92e-08, 2.38, 0, 1e-08, 0
342878401, 1.59, 4.14e-08, 4.47e-08, 2.38, 0, 1e-08, 0
343137601, 3.23, 6.39e-08, 4.33e-08, 2.38, 0, 1e-08, 0
345211201, 2.25, 3.96e-08, 4.13e-08, 2.38, 0, 1e-08, 0
345470401, 1.38, 1.21e-08, 1.54e-08, 2.38, 0, 1e-08, 0
346766401, 1.63, 1.94e-08, 2.15e-08, 2.38, 0, 1e-08, 0
347284801, 2.08, 5.32e-08, 5.38e-08, 2.38, 0, 1e-08, 0
347544001, 1.42, 2.72e-08, 2.9e-08, 2.38, 0, 1e-08, 0
349358401, 1.58, 3.5e-08, 3.37e-08, 2.38, 0, 1e-08, 0
