timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239889601, 0.0, 3.48e-08, 1e-08, 0
240494401, 0.74, 4.32e-08, 1e-08, 1
242308801, 0.0, 3.22e-08, 1e-08, 102
244123201, 0.01, 4.29e-08, 1e-08, 102
245332801, 0.13, 3.81e-08, 1e-08, 0
245937601, 0.0, 4.23e-08, 1e-08, 102
248356801, 0.0, 3.58e-08, 1e-08, 102
248961601, 0.77, 5.58e-08, 1e-08, 102
249566401, 0.08, 4.59e-08, 1e-08, 0
250776001, 0.23, 3.84e-08, 1e-08, 102
251380801, 0.04, 3.62e-08, 1e-08, 0
252590401, 0.59, 4.69e-08, 1e-08, 0
253195201, 0.39, 4.47e-08, 1e-08, 0
256219201, 0.0, 3.19e-08, 1e-08, 102
256824001, 0.0, 2.93e-08, 1e-08, 0
257428801, 0.0, 3.89e-08, 1e-08, 0
263476801, 0.0, 3.8e-08, 1e-08, 0
273758401, 0.0, 4.31e-08, 1e-08, 1
274363201, 0.29, 4.66e-08, 1e-08, 0
274968001, 0.41, 3.93e-08, 1e-08, 0
275572801, 0.29, 4.37e-08, 1e-08, 0
280411201, 0.91, 5.68e-08, 1e-08, 0
281016001, 0.0, 5.56e-08, 1e-08, 0
282225601, 0.0, 5.99e-08, 1e-08, 0
285249601, 0.98, 6.27e-08, 1e-08, 102
285854401, 0.85, 6.17e-08, 1e-08, 0
288273601, 0.0, 3.18e-08, 1e-08, 1
290088001, 0.21, 6.05e-08, 1e-08, 102
290692801, 0.0, 5.87e-08, 1e-08, 102
291902401, 0.06, 5.18e-08, 1e-08, 0
293112001, 0.0, 3.11e-08, 1e-08, 0
293716801, 0.1, 3.53e-08, 1e-08, 0
294321601, 0.09, 5.9e-08, 1e-08, 0
294926401, 0.0, 5.33e-08, 1e-08, 0
296740801, 0.52, 6.04e-08, 1e-08, 0
298555201, 0.01, 3.86e-08, 1e-08, 102
299160001, 0.0, 5.51e-08, 1e-08, 102
299764801, 0.94, 7.66e-08, 1e-08, 0
300369601, 0.0, 3.41e-08, 1e-08, 0
301579201, 0.0, 4.6e-08, 1e-08, 0
304603201, 0.0, 6.67e-08, 1e-08, 102
305208001, 0.03, 6.31e-08, 1e-08, 1
307022401, 0.34, 6.57e-08, 1e-08, 0
308232001, 0.0, 6.44e-08, 1e-08, 0
308836801, 0.01, 4.89e-08, 1e-08, 0
309441601, 0.0, 6.64e-08, 1e-08, 0
310046401, 0.28, 8.6e-08, 1e-08, 0
