timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
253195201, 4.41, 2.34e-08, 1.92e-08, 2.1, 0, 1e-08, 0, outlier_in_relative_flux
258638401, 5.14, 3.17e-08, 2.59e-08, 2.1, 0, 1e-08, 0, outlier_in_relative_flux
563457601, 16.43, 4.24e-07, 2.13e-07, 2.1, 0, 1e-08, 0, outlier_in_relative_flux
564062401, 546.66, 0.00394, 0, 2.1, 0, 1e-08, 0, zero_flux_error
564667201, 32.94, 9.77e-07, 3.51e-07, 2.1, 0, 1e-08, 0, outlier_in_relative_flux
595512001, 5.32, 2.59e-07, 2.24e-07, 2.1, 0, 1e-08, 0, outlier_in_relative_flux
672926401, 3.03, 6.77e-07, 7.22e-07, 2.1, 0, 1e-08, 0, outlier_in_relative_flux
704980801, 340.5, 0.394, 0, 2.1, 0, 1e-08, 101, zero_flux_error||non_zero_quality
736430401, 3.64, 1.25e-06, 1.05e-06, 2.1, 0, 1e-08, 101, non_zero_quality
737035201, 193.58, 0.394, 0, 2.1, 0, 1e-08, 101, zero_flux_error||non_zero_quality
