timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 2.34, 3.4e-08, 2.51e-08, 3.54, 2.89, 1e-08, 0
243475201, 3.85, 9.01e-10, 1.26e-09, 1.15, 0.7, 1e-08, 0
251251201, 13.7, 7.13e-08, 2.4e-08, 3.08, 0.45, 1e-08, 0
259027201, 4.84, 1.98e-08, 1.54e-08, 2.27, 0.42, 1e-08, 0
261619201, 4.94, 2.61e-08, 2.28e-08, 2.41, 0.63, 1e-08, 0
287539201, 3.38, 1.1e-08, 9.83e-09, 2.22, 0.45, 1e-08, 0
295315201, 4.26, 5.23e-08, 2.81e-08, 3.65, 1.41, 1e-08, 0
305683201, 2.1, 2.22e-09, 3.08e-09, 1.59, 0.53, 1e-08, 0
329011201, 6.95, 6.2e-10, 5.61e-10, 0.61, 0.65, 1e-08, 0
336787201, 7.92, 2.37e-08, 2.25e-08, 2.26, 0.49, 1e-08, 0
339379201, 3.61, 4.04e-08, 2.3e-08, 4.49, 1.4, 1e-08, 0
349747201, 2.75, 6.5e-10, 1.95e-09, 0.93, 0.72, 1e-08, 0
352339201, 2.94, 4.19e-09, 5.15e-09, 1.78, 0.49, 1e-08, 0
373075201, 2.47, 4.94e-09, 6.36e-09, 1.79, 0.55, 1e-08, 0
386035201, 2.32, 2.66e-08, 2.17e-08, 2.83, 0.78, 1e-08, 0
391219201, 1.91, 3.28e-08, 2.91e-08, 3.15, 1, 1e-08, 0
401587201, 4.58, 4.1e-09, 4.86e-09, 1.64, 0.51, 1e-08, 0
404179201, 3.6, 2.62e-08, 1.9e-08, 2.65, 0.54, 1e-08, 0
411955201, 8.37, 1.08e-09, 1.36e-09, 1.09, 0.56, 1e-08, 0
414547201, 1.18, 2.25e-08, 2.21e-08, 4.5, 2.25, 1e-08, 0
419731201, 1.77, 2.16e-09, 4.4e-09, 1.79, 0.76, 1e-08, 0
424915201, 3.87, 2.59e-08, 1.76e-08, 2.98, 0.56, 1e-08, 0
427507201, 3.16, 2.16e-09, 3.38e-09, 1.59, 0.57, 1e-08, 0
432691201, 2.27, 3e-08, 2.14e-08, 3.82, 0.97, 1e-08, 0
445651201, 1.29, 6.35e-09, 9.04e-09, 2.01, 0.63, 1e-08, 0
450835201, 3.27, 6.32e-10, 7.4e-10, 0.98, 0.52, 1e-08, 0
456019201, 1.04, 2.33e-08, 2.46e-08, 3.92, 2.79, 1e-08, 0
463795201, 1.79, 1.29e-09, 2.17e-09, 1.56, 0.68, 1e-08, 0
471571201, 13.52, 3.49e-10, 4.41e-10, 0.37, 1.45, 1e-08, 0
474163201, 3.3, 4.8e-08, 2.89e-08, 3.91, 1.97, 1e-08, 0
481939201, 2.61, 4.81e-09, 9.49e-09, 1.75, 0.68, 1e-08, 0
497491201, 4.21, 1.34e-08, 1.23e-08, 2.16, 0.42, 1e-08, 0
502675201, 3.3, 4.29e-08, 2.74e-08, 6.12, 3.93, 1e-08, 0
505267201, 5.58, 1.12e-08, 1.6e-08, 1.94, 0.64, 1e-08, 0
507859201, 14.34, 7.67e-08, 2.42e-08, 7.82, 2.22, 1e-08, 0
513043201, 4.16, 4.66e-08, 2.47e-08, 3.98, 0.79, 1e-08, 0
515635201, 23.67, 7.09e-08, 2.37e-08, 2.39, 0.24, 1e-08, 0
518227201, 52.92, 5.93e-08, 1.63e-08, 2.08, 0.16, 1e-08, 0
520819201, 1.39, 2.58e-08, 2.43e-08, 3.4, 1.2, 1e-08, 0
523411201, 5.77, 1e-08, 9.8e-09, 2.0, 0.41, 1e-08, 0
526003201, 148.14, 1.26e-07, 2.1e-08, 2.18, 0.11, 1e-08, 0
528595201, 28.7, 6.41e-08, 2.19e-08, 2.3, 0.22, 1e-08, 0
533779201, 21.08, 7.48e-08, 2.69e-08, 2.54, 0.25, 1e-08, 0
538963201, 42.3, 3.7e-08, 1.13e-08, 2.02, 0.16, 1e-08, 0
541555201, 12.75, 6.36e-08, 2.51e-08, 2.85, 0.39, 1e-08, 0
544147201, 1.74, 2.94e-08, 2.37e-08, 4.14, 2.11, 1e-08, 0
546739201, 118.05, 8.73e-08, 1.78e-08, 2.09, 0.12, 1e-08, 0
549331201, 4.41, 1.6e-08, 1.63e-08, 2.04, 0.49, 1e-08, 0
551923201, 6.22, 4.78e-08, 2.86e-08, 2.95, 0.62, 1e-08, 0
554515201, 35.23, 2.63e-08, 1.25e-08, 1.9, 0.21, 1e-08, 0
557107201, 111.85, 8.92e-08, 1.79e-08, 2.17, 0.12, 1e-08, 0
559699201, 28.68, 1.07e-07, 4.08e-08, 2.26, 0.23, 1e-08, 0
562291201, 3.6, 5.67e-08, 3.69e-08, 3.14, 0.81, 1e-08, 0
572659201, 71.14, 6.62e-08, 1.47e-08, 2.14, 0.14, 1e-08, 0
575251201, 27.61, 2.96e-08, 1.51e-08, 1.92, 0.24, 1e-08, 0
583027201, 49.42, 7.18e-08, 2.09e-08, 2.1, 0.17, 1e-08, 0
585619201, 7.09, 2.63e-08, 1.47e-08, 2.26, 0.32, 1e-08, 0
588211201, 5.27, 1.39e-08, 1.13e-08, 2.05, 0.38, 1e-08, 0
590803201, 20.39, 1.51e-08, 9.31e-09, 1.86, 0.27, 1e-08, 0
593395201, 14.79, 5.9e-09, 5.59e-09, 1.46, 0.42, 1e-08, 0
595987201, 5.85, 5.46e-08, 3.57e-08, 2.5, 0.48, 1e-08, 0
601171201, 53.09, 9.66e-08, 2.43e-08, 2.42, 0.18, 1e-08, 0
603763201, 2.27, 2.7e-08, 1.96e-08, 6.4, 2.89, 1e-08, 0
606355201, 39.23, 5.82e-08, 1.96e-08, 2.13, 0.2, 1e-08, 0
608947201, 266.72, 2.5e-07, 3.1e-08, 2.11, 0.09, 1e-08, 0
611539201, 52.92, 3.76e-08, 1.56e-08, 1.74, 0.19, 1e-08, 0
616723201, 24.36, 9.88e-08, 2.82e-08, 2.99, 0.34, 1e-08, 0
619315201, 70.16, 8.84e-08, 2.36e-08, 2.28, 0.17, 1e-08, 0
621907201, 10.3, 1.2e-08, 1.01e-08, 1.89, 0.35, 1e-08, 0
624499201, 14.85, 4.78e-08, 2.97e-08, 2.38, 0.37, 1e-08, 0
629683201, 92.75, 1.18e-07, 2.47e-08, 2.13, 0.12, 1e-08, 0
632275201, 234.28, 1.15e-07, 1.81e-08, 2.0, 0.09, 1e-08, 0
