timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
240494401, 0.11, 3.35e-08, 1e-08, 102
241099201, 0.14, 4.45e-08, 1e-08, 0
244728001, 0.04, 4.11e-08, 1e-08, 0
245332801, 0.28, 2.89e-08, 1e-08, 0
247752001, 0.86, 5.85e-08, 1e-08, 0
250171201, 0.95, 4.8e-08, 1e-08, 0
250776001, 0.56, 3.36e-08, 1e-08, 102
253800001, 0.0, 4.09e-08, 1e-08, 102
259243201, 0.88, 5.29e-08, 1e-08, 0
260452801, 0.18, 3.58e-08, 1e-08, 0
262872001, 0.36, 6.15e-08, 1e-08, 0
271339201, 0.12, 5.7e-08, 1e-08, 0
272548801, 0.0, 2.71e-08, 1e-08, 0
273758401, 0.81, 4.74e-08, 1e-08, 0
276177601, 0.2, 3.83e-08, 1e-08, 102
288273601, 0.51, 4.84e-08, 1e-08, 0
296740801, 0.95, 5e-08, 1e-08, 0
297950401, 0.0, 3.04e-08, 1e-08, 0
298555201, 0.0, 3.72e-08, 1e-08, 102
303998401, 0.56, 5.23e-08, 1e-08, 0
310651201, 0.0, 3.31e-08, 1e-08, 102
315489601, 0.54, 6.53e-08, 1e-08, 102
316699201, 0.74, 3.37e-08, 1e-08, 102
321537601, 0.0, 3.37e-08, 1e-08, 0
327585601, 0.0, 2.92e-08, 1e-08, 102
329400001, 0.47, 5.04e-08, 1e-08, 0
331214401, 0.77, 4.18e-08, 1e-08, 102
341496001, 0.91, 3.77e-08, 1e-08, 0
346334401, 0.61, 4.44e-08, 1e-08, 0
351777601, 0.0, 3.39e-08, 1e-08, 0
353592001, 0.53, 4.47e-08, 1e-08, 0
355406401, 0.57, 4.09e-08, 1e-08, 0
356616001, 0.0, 3.46e-08, 1e-08, 0
357220801, 0.0, 4.15e-08, 1e-08, 102
359640001, 0.09, 4.2e-08, 1e-08, 0
364478401, 0.0, 3.02e-08, 1e-08, 0
365688001, 0.55, 4.93e-08, 1e-08, 0
366292801, 0.0, 3.18e-08, 1e-08, 102
368107201, 0.43, 4.03e-08, 1e-08, 0
371131201, 0.65, 4.82e-08, 1e-08, 0
378993601, 0.18, 4.15e-08, 1e-08, 0
380808001, 0.05, 3.52e-08, 1e-08, 0
385041601, 0.0, 4.94e-08, 1e-08, 102
387460801, 0.5, 3.87e-08, 1e-08, 0
390484801, 0.31, 2.44e-08, 1e-08, 102
391089601, 0.03, 4.41e-08, 1e-08, 0
391694401, 0.0, 3.69e-08, 1e-08, 102
392904001, 0.15, 4.57e-08, 1e-08, 0
393508801, 0.69, 4.67e-08, 1e-08, 0
394718401, 0.04, 4.22e-08, 1e-08, 0
398952001, 0.44, 4.16e-08, 1e-08, 0
404395201, 0.4, 7.47e-08, 1e-08, 0
405000001, 0.3, 5.11e-08, 1e-08, 0
408024001, 0.0, 6.04e-08, 1e-08, 102
409233601, 0.42, 9.29e-08, 1e-08, 0
414072001, 0.0, 6.19e-08, 1e-08, 0
415281601, 0.26, 7.04e-08, 1e-08, 102
417700801, 0.59, 4.59e-08, 1e-08, 0
418305601, 0.47, 8.25e-08, 1e-08, 0
419515201, 0.0, 5.32e-08, 1e-08, 0
420120001, 0.0, 3.49e-08, 1e-08, 0
421329601, 0.0, 2.66e-08, 1e-08, 102
421934401, 0.47, 4.85e-08, 1e-08, 0
424958401, 0.7, 3.32e-08, 1e-08, 0
