timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239976001, 3.08, 4.76e-08, 3.97e-08, 2.64, 0, 1e-08, 0
241531201, 3.74, 6.43e-08, 4.28e-08, 2.64, 0, 1e-08, 0
245419201, 1.43, 4.23e-08, 4.04e-08, 2.64, 0, 1e-08, 0
247233601, 1.87, 5.97e-08, 5.02e-08, 2.64, 0, 1e-08, 0
248529601, 1.01, 4.21e-08, 4.78e-08, 2.64, 0, 1e-08, 0
250344001, 3.7, 7.91e-08, 4.98e-08, 2.64, 0, 1e-08, 0
250603201, 3.41, 6.23e-08, 4.16e-08, 2.64, 0, 1e-08, 0
252158401, 5.74, 1.17e-07, 5.88e-08, 2.64, 0, 1e-08, 0
254232001, 1.98, 5.38e-08, 4.62e-08, 2.64, 0, 1e-08, 0
254750401, 2.18, 5.47e-08, 4.36e-08, 2.64, 0, 1e-08, 0
257860801, 1.8, 6.39e-08, 5.4e-08, 2.64, 0, 1e-08, 0
258897601, 2.87, 7.19e-08, 5.19e-08, 2.64, 0, 1e-08, 0
259934401, 2.64, 5.57e-08, 4.08e-08, 2.64, 0, 1e-08, 0
261230401, 1.05, 4.09e-08, 4.47e-08, 2.64, 0, 1e-08, 0
262008001, 1.55, 5.67e-08, 5.13e-08, 2.64, 0, 1e-08, 0
264081601, 1.2, 2.94e-08, 3.32e-08, 2.64, 0, 1e-08, 0
265377601, 1.01, 3.74e-08, 4.27e-08, 2.64, 0, 1e-08, 0
265896001, 1.07, 2.19e-08, 2.74e-08, 2.64, 0, 1e-08, 0
267451201, 7.28, 8.2e-08, 4.89e-08, 2.64, 0, 1e-08, 0
268228801, 5.02, 7.87e-08, 4.32e-08, 2.64, 0, 1e-08, 0
268747201, 5.51, 7.78e-08, 4.11e-08, 2.64, 0, 1e-08, 0
271339201, 2.89, 5.82e-08, 4.48e-08, 2.64, 0, 1e-08, 0
273153601, 5.69, 9.65e-08, 5.13e-08, 2.64, 0, 1e-08, 0
273931201, 1.03, 5.05e-08, 5.53e-08, 2.64, 0, 1e-08, 0
274190401, 1.61, 2.42e-08, 2.83e-08, 2.64, 0, 1e-08, 0
285854401, 1.17, 4.49e-08, 4.69e-08, 2.64, 0, 1e-08, 0
290520001, 2.12, 5.21e-08, 4.35e-08, 2.64, 0, 1e-08, 0
291297601, 1.02, 4.38e-08, 5.08e-08, 2.64, 0, 1e-08, 0
291816001, 3.1, 1.11e-07, 7.59e-08, 2.64, 0, 1e-08, 0
294667201, 3.45, 9.03e-08, 6.16e-08, 2.64, 0, 1e-08, 0
295185601, 1.81, 4.84e-08, 4.49e-08, 2.64, 0, 1e-08, 0
295963201, 2.35, 5.99e-08, 4.92e-08, 2.64, 0, 1e-08, 0
298296001, 1.68, 5.72e-08, 5.38e-08, 2.64, 0, 1e-08, 0
300628801, 2.79, 8e-08, 5.61e-08, 2.64, 0, 1e-08, 0
303220801, 1.57, 4.51e-08, 4.33e-08, 2.64, 0, 1e-08, 0
305035201, 1.45, 4.54e-08, 4.45e-08, 2.64, 0, 1e-08, 0
305294401, 1.31, 5.56e-08, 5.35e-08, 2.64, 0, 1e-08, 0
307108801, 1.11, 6.88e-08, 8.13e-08, 2.64, 0, 1e-08, 0
307368001, 2.11, 7.66e-08, 6.05e-08, 2.64, 0, 1e-08, 0
307627201, 1.76, 5.93e-08, 5.09e-08, 2.64, 0, 1e-08, 0
307886401, 2.21, 7.13e-08, 5.59e-08, 2.64, 0, 1e-08, 0
309441601, 1.83, 6.33e-08, 5.47e-08, 2.64, 0, 1e-08, 0
311256001, 3.88, 6.57e-08, 4.56e-08, 2.64, 0, 1e-08, 0
313329601, 4.55, 5.93e-08, 3.79e-08, 2.64, 0, 1e-08, 0
313848001, 5.49, 5.73e-08, 3.89e-08, 2.64, 0, 1e-08, 0
314625601, 2.2, 4.72e-08, 4.18e-08, 2.64, 0, 1e-08, 0
316440001, 3.56, 1.06e-07, 6.6e-08, 2.64, 0, 1e-08, 0
316958401, 11.86, 1.49e-07, 5.78e-08, 2.64, 0, 1e-08, 0
317217601, 2.24, 7.07e-08, 5.62e-08, 2.64, 0, 1e-08, 0
317476801, 4.32, 7.89e-08, 4.81e-08, 2.64, 0, 1e-08, 0
317995201, 1.61, 5.06e-08, 4.57e-08, 2.64, 0, 1e-08, 0
318254401, 6.31, 1.12e-07, 5.59e-08, 2.64, 0, 1e-08, 0
320068801, 4.41, 1.23e-07, 7.21e-08, 2.64, 0, 1e-08, 0
320846401, 1.15, 5.42e-08, 5.87e-08, 2.64, 0, 1e-08, 0
321364801, 2.16, 6.43e-08, 5.54e-08, 2.64, 0, 1e-08, 0
321624001, 1.94, 5.26e-08, 4.41e-08, 2.64, 0, 1e-08, 0
323956801, 2.97, 7.97e-08, 5.44e-08, 2.64, 0, 1e-08, 0
324993601, 3.41, 1.04e-07, 6.69e-08, 2.64, 0, 1e-08, 0
327067201, 1.23, 4.35e-08, 4.55e-08, 2.64, 0, 1e-08, 0
327844801, 2.7, 7.05e-08, 5.23e-08, 2.64, 0, 1e-08, 0
328104001, 4.54, 6.53e-08, 4.58e-08, 2.64, 0, 1e-08, 0
328881601, 5.43, 8.36e-08, 5.73e-08, 2.64, 0, 1e-08, 0
331214401, 3.76, 4.99e-08, 3.85e-08, 2.64, 0, 1e-08, 0
331992001, 4.87, 8.82e-08, 4.96e-08, 2.64, 0, 1e-08, 0
332510401, 8.29, 8.78e-08, 4.4e-08, 2.64, 0, 1e-08, 0
