timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239889601, 1.02, 5.41e-08, 5.89e-08, 2.35, 0, 1e-08, 0
240494401, 16.92, 1.67e-07, 5.8e-08, 2.35, 0, 1e-08, 0
241099201, 10.93, 1.46e-07, 5.9e-08, 2.35, 0, 1e-08, 0
241704001, 25.84, 2.31e-07, 6.3e-08, 2.35, 0, 1e-08, 0
242308801, 10.45, 1.49e-07, 5.98e-08, 2.35, 0, 1e-08, 0
242913601, 6.06, 1.47e-07, 6.69e-08, 2.35, 0, 1e-08, 0
243518401, 2.04, 7.92e-08, 6.18e-08, 2.35, 0, 1e-08, 0
244123201, 5.31, 1.26e-07, 6.42e-08, 2.35, 0, 1e-08, 0
244728001, 2.11, 6.81e-08, 5.42e-08, 2.35, 0, 1e-08, 0
245332801, 2.82, 6.93e-08, 4.98e-08, 2.35, 0, 1e-08, 0
247147201, 10.13, 1.25e-07, 6e-08, 2.35, 0, 1e-08, 0
248356801, 3.09, 9.01e-08, 5.87e-08, 2.35, 0, 1e-08, 0
248961601, 1.36, 5.11e-08, 4.98e-08, 2.35, 0, 1e-08, 0
249566401, 7.05, 8.59e-08, 4.92e-08, 2.35, 0, 1e-08, 0
250171201, 10.14, 1.46e-07, 5.92e-08, 2.35, 0, 1e-08, 0
251380801, 3.29, 9.57e-08, 5.91e-08, 2.35, 0, 1e-08, 0
251985601, 1.06, 6.02e-08, 6.21e-08, 2.35, 0, 1e-08, 0
252590401, 15.13, 1.89e-07, 6.2e-08, 2.35, 0, 1e-08, 0
253195201, 5.32, 8.05e-08, 4.73e-08, 2.35, 0, 1e-08, 0
254404801, 4.53, 1.02e-07, 5.58e-08, 2.35, 0, 1e-08, 0
255009601, 17.89, 1.7e-07, 5.45e-08, 2.35, 0, 1e-08, 0
255614401, 7.32, 8.16e-08, 4.35e-08, 2.35, 0, 1e-08, 0
256219201, 9.78, 1.49e-07, 6e-08, 2.35, 0, 1e-08, 0
256824001, 5.09, 1.07e-07, 5.6e-08, 2.35, 0, 1e-08, 0
257428801, 1.25, 4.58e-08, 5.06e-08, 2.35, 0, 1e-08, 0
258033601, 10.64, 1.78e-07, 6.65e-08, 2.35, 0, 1e-08, 0
258638401, 3.2, 7.33e-08, 5.49e-08, 2.35, 0, 1e-08, 0
259243201, 3.2, 6.24e-08, 4.56e-08, 2.35, 0, 1e-08, 0
259848001, 11.67, 1.84e-07, 6.4e-08, 2.35, 0, 1e-08, 0
260452801, 4.61, 9.5e-08, 5.29e-08, 2.35, 0, 1e-08, 0
261057601, 6.33, 1.01e-07, 5.31e-08, 2.35, 0, 1e-08, 0
262267201, 8.45, 1.15e-07, 5.88e-08, 2.35, 0, 1e-08, 0
262872001, 3.48, 5.73e-08, 4.49e-08, 2.35, 0, 1e-08, 0
263476801, 1.77, 5.09e-08, 4.63e-08, 2.35, 0, 1e-08, 0
264081601, 19.22, 1.97e-07, 6.2e-08, 2.35, 0, 1e-08, 0
264686401, 5.37, 1.17e-07, 6.01e-08, 2.35, 0, 1e-08, 0
265291201, 9.48, 1.03e-07, 5.18e-08, 2.35, 0, 1e-08, 0
265896001, 2.84, 4.33e-08, 3.51e-08, 2.35, 0, 1e-08, 0
266500801, 17.48, 2.22e-07, 6.7e-08, 2.35, 0, 1e-08, 0
267105601, 24.29, 2.36e-07, 6.9e-08, 2.35, 0, 1e-08, 0
267710401, 25.78, 2.48e-07, 6.9e-08, 2.35, 0, 1e-08, 0
268315201, 28.99, 1.8e-07, 5.4e-08, 2.35, 0, 1e-08, 0
268920001, 1.3, 5.8e-08, 5.48e-08, 2.35, 0, 1e-08, 0
269524801, 5.31, 8.33e-08, 4.66e-08, 2.35, 0, 1e-08, 0
270129601, 3.14, 6.91e-08, 4.68e-08, 2.35, 0, 1e-08, 0
270734401, 20.58, 2.02e-07, 6.4e-08, 2.35, 0, 1e-08, 0
271339201, 6.83, 1.41e-07, 6.82e-08, 2.35, 0, 1e-08, 0
271944001, 4.13, 7.03e-08, 4.76e-08, 2.35, 0, 1e-08, 0
272548801, 2.39, 7.86e-08, 5.74e-08, 2.35, 0, 1e-08, 0
273153601, 36.07, 2.16e-07, 5.6e-08, 2.35, 0, 1e-08, 0
273758401, 22.74, 2.05e-07, 5.7e-08, 2.35, 0, 1e-08, 0
274363201, 6.5, 7.58e-08, 4.5e-08, 2.35, 0, 1e-08, 0
274968001, 11.62, 1.64e-07, 5.8e-08, 2.35, 0, 1e-08, 0
275572801, 10.22, 1.15e-07, 5.19e-08, 2.35, 0, 1e-08, 0
276177601, 9.09, 1.71e-07, 7.18e-08, 2.35, 0, 1e-08, 0
276782401, 10.82, 1.83e-07, 6.9e-08, 2.35, 0, 1e-08, 0
277387201, 17.45, 1.65e-07, 5.6e-08, 2.35, 0, 1e-08, 0
277992001, 36.74, 2.48e-07, 5.7e-08, 2.35, 0, 1e-08, 0
278596801, 39.76, 2.3e-07, 5e-08, 2.35, 0, 1e-08, 0
279201601, 79.37, 3.25e-07, 5.7e-08, 2.35, 0, 1e-08, 0
