timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240235201, 2.41, 9.7e-09, 9.4e-09, 0.79, 0.63, 1e-08, 0
240753601, 2.48, 3.37e-09, 3.97e-09, 0.62, 0.9, 1e-08, 0
241012801, 3.98, 6.63e-08, 6.26e-08, 2.64, 0.75, 1e-08, 0
242049601, 3.33, 3.56e-08, 3.32e-08, 2.12, 0.63, 1e-08, 0
243864001, 1.61, 6.72e-08, 6.46e-08, 3.09, 1.05, 1e-08, 0
244900801, 3.32, 7.41e-08, 6.91e-08, 2.74, 0.86, 1e-08, 0
246974401, 9.02, 5.68e-08, 4.31e-08, 2.0, 0.56, 1e-08, 0
248011201, 7.32, 1.48e-07, 8.22e-08, 3.03, 0.53, 1e-08, 0
249048001, 2.46, 8.3e-08, 7.2e-08, 3.46, 1, 1e-08, 0
250862401, 1.19, 7.61e-08, 8.68e-08, 3.7, 1.12, 1e-08, 0
251380801, 3.92, 5.55e-08, 5.96e-08, 2.45, 0.81, 1e-08, 0
253195201, 1.88, 2.35e-08, 3.56e-08, 2.24, 1.15, 1e-08, 0
253713601, 1.08, 6.91e-08, 7.88e-08, 3.16, 0.91, 1e-08, 0
257860801, 1.02, 6.98e-09, 1.22e-08, 1.61, 1.48, 1e-08, 0
258379201, 3.99, 6.67e-08, 7.41e-08, 2.72, 0.96, 1e-08, 0
263304001, 1.03, 2.1e-08, 4.45e-08, 1.9, 1.55, 1e-08, 0
265377601, 1.6, 9.08e-08, 2.64e-07, 3.78, 5.79, 1e-08, 0
266155201, 2.25, 4.09e-09, 4.95e-09, 0.85, 0.9, 1e-08, 0
266414401, 2.54, 8.16e-08, 7.93e-08, 2.96, 0.88, 1e-08, 0
267451201, 1.13, 1.61e-08, 3.64e-08, 2.13, 1.49, 1e-08, 0
268228801, 1.62, 1.29e-08, 2.28e-08, 1.58, 1.15, 1e-08, 0
269784001, 5.16, 5.09e-08, 4.44e-08, 2.03, 0.68, 1e-08, 0
271339201, 1.57, 1.05e-07, 1e-07, 3.61, 1.16, 1e-08, 0
272376001, 5.43, 2.08e-07, 1.08e-07, 4.11, 0.89, 1e-08, 0
274449601, 7.64, 4.45e-09, 4.7e-09, 0.63, 0.76, 1e-08, 0
275227201, 5.75, 1.16e-07, 7.71e-08, 3.03, 0.68, 1e-08, 0
276264001, 2.84, 2.03e-08, 2.02e-08, 1.4, 0.73, 1e-08, 0
276523201, 3.41, 1.04e-07, 7.22e-08, 3.21, 1.05, 1e-08, 0
277560001, 3.1, 8.56e-08, 6.16e-08, 3.11, 0.64, 1e-08, 0
282484801, 1.79, 3.45e-08, 3.53e-08, 2.62, 0.74, 1e-08, 0
284299201, 4.98, 3.15e-08, 4.02e-08, 1.8, 1.02, 1e-08, 0
286113601, 1.28, 6.37e-09, 8.92e-09, 1.72, 1.43, 1e-08, 0
287150401, 2.43, 5.75e-09, 8.23e-09, 1.37, 1.03, 1e-08, 0
288705601, 4.01, 1.2e-07, 8.72e-08, 3.17, 0.67, 1e-08, 0
290001601, 3.91, 1.31e-07, 1.08e-07, 3.51, 0.91, 1e-08, 0
291038401, 3.44, 5.98e-08, 4.6e-08, 2.4, 0.59, 1e-08, 0
