timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
240883201, 1.14, 4.61e-09, 5.39e-09, 2.2, 0, 1e-08, 0
246067201, 6.75, 1.29e-08, 7.51e-09, 2.2, 0, 1e-08, 0
248659201, 4.03, 1.26e-08, 7.99e-09, 2.2, 0, 1e-08, 0
251251201, 2.35, 1.12e-08, 8.21e-09, 2.2, 0, 1e-08, 0
253843201, 1.35, 8.92e-09, 8.5e-09, 2.2, 0, 1e-08, 0
256435201, 1.46, 6.2e-09, 6.32e-09, 2.2, 0, 1e-08, 0
277171201, 1.3, 8.11e-09, 8.19e-09, 2.2, 0, 1e-08, 0
279763201, 5.22, 6.63e-09, 5.86e-09, 2.2, 0, 1e-08, 0
287539201, 9.92, 1.91e-08, 8.8e-09, 2.2, 0, 1e-08, 0
295315201, 1.62, 5.57e-09, 5.74e-09, 2.2, 0, 1e-08, 0
316051201, 1.73, 8.37e-09, 7.74e-09, 2.2, 0, 1e-08, 0
323827201, 1.61, 5.11e-09, 5.31e-09, 2.2, 0, 1e-08, 0
331603201, 1.66, 1.05e-08, 9.29e-09, 2.2, 0, 1e-08, 0
336787201, 1.93, 1.22e-08, 9.9e-09, 2.2, 0, 1e-08, 0
339379201, 3.38, 1.31e-08, 1.02e-08, 2.2, 0, 1e-08, 0
344563201, 1.45, 5.41e-09, 5.77e-09, 2.2, 0, 1e-08, 0
360115201, 1.44, 6.87e-09, 7.11e-09, 2.2, 0, 1e-08, 0
367891201, 1.35, 6.24e-09, 6.76e-09, 2.2, 0, 1e-08, 0
378259201, 3.25, 1.4e-08, 9.62e-09, 2.2, 0, 1e-08, 0
386035201, 1.04, 5.78e-09, 6.62e-09, 2.2, 0, 1e-08, 0
396403201, 2.64, 6.33e-09, 5.89e-09, 2.2, 0, 1e-08, 0
398995201, 1.72, 6.51e-09, 5.9e-09, 2.2, 0, 1e-08, 0
404179201, 4.55, 7.13e-09, 5.69e-09, 2.2, 0, 1e-08, 0
409363201, 9.48, 2.57e-08, 1.04e-08, 2.2, 0, 1e-08, 0
411955201, 1.42, 5.61e-09, 5.1e-09, 2.2, 0, 1e-08, 0
414547201, 16.91, 1.78e-08, 6.7e-09, 2.2, 0, 1e-08, 0
417139201, 49.2, 2.69e-08, 6.4e-09, 2.2, 0, 1e-08, 0
419731201, 13.02, 1.18e-08, 5.91e-09, 2.2, 0, 1e-08, 0
422323201, 13.95, 2.02e-08, 9.3e-09, 2.2, 0, 1e-08, 0
424915201, 3.26, 1.46e-08, 1.15e-08, 2.2, 0, 1e-08, 0
427507201, 2.99, 8.36e-09, 6.34e-09, 2.2, 0, 1e-08, 0
432691201, 5.71, 1.43e-08, 6.98e-09, 2.2, 0, 1e-08, 0
435283201, 14.56, 1.47e-08, 5.59e-09, 2.2, 0, 1e-08, 0
437875201, 6.42, 1.5e-08, 6.92e-09, 2.2, 0, 1e-08, 0
440467201, 2.29, 1.45e-08, 1.05e-08, 2.2, 0, 1e-08, 0
445651201, 11.87, 2.79e-08, 1.03e-08, 2.2, 0, 1e-08, 0
