timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
241790401, 4.31, 2.95e-08, 2.26e-08, 2.06, 0, 1e-08, 0
242568001, 1.02, 2.69e-08, 3.23e-08, 2.06, 0, 1e-08, 0
243604801, 5.06, 3.09e-08, 2.49e-08, 2.06, 0, 1e-08, 0
245419201, 3.85, 3.36e-08, 2.48e-08, 2.06, 0, 1e-08, 0
246974401, 3.98, 3.89e-08, 2.69e-08, 2.06, 0, 1e-08, 0
248011201, 2.74, 4.16e-08, 3.25e-08, 2.06, 0, 1e-08, 0
248270401, 1.87, 2.39e-08, 2.39e-08, 2.06, 0, 1e-08, 0
249048001, 2.7, 2.3e-08, 1.97e-08, 2.06, 0, 1e-08, 0
249307201, 1.39, 2.84e-08, 3.03e-08, 2.06, 0, 1e-08, 0
250084801, 4.68, 3.74e-08, 2.57e-08, 2.06, 0, 1e-08, 0
251121601, 1.17, 1.52e-08, 1.83e-08, 2.06, 0, 1e-08, 0
253195201, 6.26, 7.29e-08, 4.13e-08, 2.06, 0, 1e-08, 0
253454401, 3.96, 3.13e-08, 2.62e-08, 2.06, 0, 1e-08, 0
253972801, 1.11, 1.6e-08, 1.94e-08, 2.06, 0, 1e-08, 0
254232001, 9.93, 4.24e-08, 2.46e-08, 2.06, 0, 1e-08, 0
255787201, 2.47, 2.74e-08, 2.23e-08, 2.06, 0, 1e-08, 0
259675201, 1.5, 2.11e-08, 2.11e-08, 2.06, 0, 1e-08, 0
260193601, 2.16, 2.11e-08, 2.07e-08, 2.06, 0, 1e-08, 0
260971201, 1.56, 9.41e-09, 1.16e-08, 2.06, 0, 1e-08, 0
261748801, 9.98, 7.38e-08, 3.72e-08, 2.06, 0, 1e-08, 0
262267201, 1.12, 2.74e-08, 3.15e-08, 2.06, 0, 1e-08, 0
263563201, 2.15, 1.98e-08, 2e-08, 2.06, 0, 1e-08, 0
264081601, 3.1, 1.78e-08, 1.72e-08, 2.06, 0, 1e-08, 0
264859201, 2.11, 2.21e-08, 2.05e-08, 2.06, 0, 1e-08, 0
265896001, 1.09, 1.09e-08, 1.49e-08, 2.06, 0, 1e-08, 0
266414401, 1.85, 1.63e-08, 1.89e-08, 2.06, 0, 1e-08, 0
267192001, 3.38, 1.99e-08, 1.82e-08, 2.06, 0, 1e-08, 0
267710401, 4.47, 4.03e-08, 2.9e-08, 2.06, 0, 1e-08, 0
267969601, 4.74, 3.93e-08, 2.68e-08, 2.06, 0, 1e-08, 0
268228801, 2.8, 2.84e-08, 2.33e-08, 2.06, 0, 1e-08, 0
268747201, 2.68, 2.24e-08, 1.95e-08, 2.06, 0, 1e-08, 0
270043201, 2.98, 4.25e-08, 3.12e-08, 2.06, 0, 1e-08, 0
