timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
249566401, 1.59, 3.88e-08, 3.67e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
276177601, 1.05, 3.45e-08, 3.15e-08, 4.25, 5.66, 1e-08, 102, non_zero_quality
280411201, 3.41, 5.94e-08, 5.44e-08, 3.14, 3.95, 1e-08, 102, non_zero_quality
284040001, 1.3, 3.88e-08, 3.18e-08, 4.35, 5.06, 1e-08, 102, non_zero_quality
287668801, 2.87, 7.06e-08, 5.22e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
290692801, 1.85, 4.09e-08, 3.69e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
294321601, 7.11, 1.44e-09, 1.89e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
297950401, 5.25, 6.6e-08, 3.22e-08, 3.91, 2.85, 1e-08, 102, non_zero_quality
302184001, 1.34, 3.57e-08, 3.57e-08, 3.97, 5.43, 1e-08, 102, non_zero_quality
305208001, 1.75, 3.81e-08, 6.13e-08, 2.98, 5.58, 1e-08, 102, non_zero_quality
305812801, 9.15, 1.13e-09, 1.4e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
314884801, 1.79, 5.02e-08, 4.58e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
320328001, 8.26, 1.26e-09, 1.75e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
320932801, 1.84, 3.71e-08, 3.21e-08, 3.43, 4.87, 1e-08, 102, non_zero_quality
331819201, 1.05, 3.07e-08, 3.57e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
337262401, 3.64, 6.59e-08, 5.11e-08, 3.56, 3.54, 1e-08, 102, non_zero_quality
338472001, 1.86, 4.75e-08, 4.21e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
341496001, 13.66, 1.22e-09, 1.63e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
342100801, 4.66, 7.84e-08, 4.77e-08, 3.8, 2.99, 1e-08, 102, non_zero_quality
354801601, 6.38, 7.6e-08, 3.98e-08, 3.37, 2.75, 1e-08, 102, non_zero_quality
362059201, 14.01, 1.25e-09, 1.65e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
362664001, 7.13, 8.29e-08, 3.49e-08, 3.8, 2.45, 1e-08, 102, non_zero_quality
365688001, 8.44, 9.01e-08, 7.37e-08, 3.16, 2.78, 1e-08, 102, non_zero_quality
375969601, 2.81, 4.16e-08, 7.55e-08, 2.95, 4.9, 1e-08, 102, non_zero_quality
386251201, 4.13, 4.91e-08, 1.26e-07, 2.65, 4.88, 1e-08, 102, non_zero_quality
405000001, 41.32, 4.29e-09, 3.44e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
415281601, 1.72, 7.58e-08, 8.73e-08, 3.36, 5.14, 1e-08, 102, non_zero_quality
418305601, 7.43, 3.27e-08, 1.2e-07, 1.83, 1.72, 1e-08, 0, outlier_in_relative_flux
422539201, 2.27, 4.64e-08, 3.82e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
425563201, 2.44, 6.23e-08, 4.98e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
427982401, 2.07, 7.32e-08, 7.98e-08, 3.1, 5.06, 1e-08, 102, non_zero_quality
443707201, 2.65, 5.89e-08, 4.93e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
451569601, 6.55, 1.92e-09, 1.97e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
452779201, 5.23, 6.91e-08, 5.19e-08, 3.38, 3.13, 1e-08, 102, non_zero_quality
454593601, 4.49, 6.65e-08, 4.05e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
460036801, 3.02, 4.61e-08, 4.7e-07, 3.23, 2.21, 1e-08, 0, outlier_in_relative_flux
487857601, 1.31, 3.76e-08, 1.29e-07, 2.87, 7.53, 1e-08, 102, non_zero_quality
490276801, 13.35, 1.16e-09, 1.58e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
525960001, 1.96, 4.87e-08, 4.39e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
587044801, 16.1, 1.2e-09, 1.48e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
596721601, 5.69, 7.02e-08, 6.46e-08, 3.16, 3.24, 1e-08, 102, non_zero_quality
619704001, 1.76, 3.6e-08, 4.06e-08, 2.99, 5.42, 1e-08, 102, non_zero_quality
632404801, 3.02, 5.59e-08, 1.01e-06, 3.99, 3.71, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
656596801, 3.93, 5.99e-08, 3.88e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
669902401, 3.12, 4.96e-08, 4.57e-08, 3.26, 4.1, 1e-08, 102, non_zero_quality
675345601, 15.3, 1.16e-09, 1.49e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
695908801, 16.85, 9.64e-10, 1.23e-09, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
