timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
553608001, 18.87, 1.15e-05, 0, 2.66, 0, 1e-08, 0, zero_flux_error
555940801, 1.0, NaN, NaN, 2.66, 0, 1e-08, 0, missing_flux||missing_flux_error
567086401, 69.0, 1.15e-05, 0, 2.66, 0, 1e-08, 0, zero_flux_error
580564801, 3.14, 7.88e-08, 8.39e-08, 2.66, 0, 1e-08, 0, outlier_in_relative_flux
585748801, 1.19, 1.15e-05, 0, 2.66, 0, 1e-08, 0, zero_flux_error
612705601, 1.33, 1.15e-05, 0, 2.66, 0, 1e-08, 0, zero_flux_error
617630401, 16.83, 1.15e-05, 0, 2.66, 0, 1e-08, 0, zero_flux_error
648475201, 4.28, 1.34e-07, 1.17e-07, 2.66, 0, 1e-08, 0, outlier_in_relative_flux
649771201, 1.04, 1.15e-05, 0, 2.66, 0, 1e-08, 0, zero_flux_error
663249601, 52.32, 1.15e-05, 0, 2.66, 0, 1e-08, 0, zero_flux_error
676728001, 8.77, 1.15e-05, 0, 2.66, 0, 1e-08, 0, zero_flux_error
681393601, 2.11, 3.37e-07, 4.42e-07, 2.66, 0, 1e-08, 102, non_zero_quality||outlier_in_relative_flux
739972801, 5.09, 0.00115, 0, 2.66, 0, 1e-08, 101, zero_flux_error||non_zero_quality
