timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
246067201, 0.0, 1.8e-08, 1e-08, 0
251251201, 0.0, 2.32e-08, 1e-08, 0
253843201, 0.03, 2.9e-08, 1e-08, 0
256435201, 0.25, 3.66e-08, 1e-08, 0
264211201, 0.26, 3.16e-08, 1e-08, 0
269395201, 0.0, 2.57e-08, 1e-08, 0
271987201, 0.52, 3.69e-08, 1e-08, 0
277171201, 0.0, 1.94e-08, 1e-08, 0
279763201, 0.0, 2.42e-08, 1e-08, 0
284947201, 0.0, 2.72e-08, 1e-08, 0
290131201, 0.02, 3.24e-08, 1e-08, 0
292723201, 0.0, 2.52e-08, 1e-08, 0
305683201, 0.0, 2.66e-08, 1e-08, 0
308275201, 0.0, 2.8e-08, 1e-08, 0
316051201, 0.86, 4.44e-08, 1e-08, 0
329011201, 0.0, 3.56e-08, 1e-08, 0
331603201, 0.0, 3.77e-08, 1e-08, 0
341971201, 0.0, 3.11e-08, 1e-08, 0
352339201, 0.74, 3.56e-08, 1e-08, 0
388627201, 0.54, 3.82e-08, 1e-08, 0
396403201, 0.0, 3.1e-08, 1e-08, 0
401587201, 0.0, 2.34e-08, 1e-08, 0
406771201, 0.0, 2.9e-08, 1e-08, 0
424915201, 0.0, 3.37e-08, 1e-08, 0
450835201, 0.0, 2.62e-08, 1e-08, 0
461203201, 0.07, 5.15e-08, 1e-08, 0
468979201, 0.48, 5.07e-08, 1e-08, 0
476755201, 0.03, 3.4e-08, 1e-08, 0
479347201, 0.0, 2.71e-08, 1e-08, 0
481939201, 0.0, 2.66e-08, 1e-08, 0
487123201, 0.0, 3.58e-08, 1e-08, 0
492307201, 0.57, 4.37e-08, 1e-08, 0
494899201, 0.05, 3.88e-08, 1e-08, 0
500083201, 0.59, 2.88e-08, 1e-08, 0
502675201, 0.0, 2.45e-08, 1e-08, 0
507859201, 0.2, 3.8e-08, 1e-08, 0
510451201, 0.01, 3.38e-08, 1e-08, 0
515635201, 0.0, 2.13e-08, 1e-08, 0
520819201, 0.0, 2.67e-08, 1e-08, 0
523411201, 0.0, 2.79e-08, 1e-08, 0
544147201, 0.0, 6.15e-08, 1e-08, 0
546739201, 0.91, 4.77e-08, 1e-08, 0
549331201, 0.12, 3.11e-08, 1e-08, 0
551923201, 0.62, 4.12e-08, 1e-08, 0
564883201, 0.18, 3.35e-08, 1e-08, 0
567475201, 0.13, 2.71e-08, 1e-08, 0
575251201, 0.62, 4.53e-08, 1e-08, 0
585619201, 0.45, 5.49e-08, 1e-08, 0
624499201, 0.88, 4.04e-08, 1e-08, 0
642643201, 0.19, 3.32e-08, 1e-08, 0
645235201, 0.0, 2.14e-08, 1e-08, 0
647827201, 0.07, 3.63e-08, 1e-08, 0
653011201, 0.62, 4.29e-08, 1e-08, 0
660787201, 0.68, 3.71e-08, 1e-08, 0
668563201, 0.0, 2.1e-08, 1e-08, 0
671155201, 0.0, 2.26e-08, 1e-08, 0
673747201, 0.36, 3.25e-08, 1e-08, 0
676339201, 0.0, 3.12e-08, 1e-08, 0
681523201, 0.07, 3.75e-08, 1e-08, 0
684115201, 0.0, 2.39e-08, 1e-08, 0
689299201, 0.0, 2.04e-08, 1e-08, 0
691891201, 0.34, 2.71e-08, 1e-08, 0
694483201, 0.0, 2.79e-08, 1e-08, 0
697075201, 0.0, 2.35e-08, 1e-08, 0
699667201, 0.0, 2.68e-08, 1e-08, 0
702259201, 0.0, 2.41e-08, 1e-08, 0
704851201, 0.06, 2.69e-08, 1e-08, 0
707443201, 0.0, 2.28e-08, 1e-08, 0
710035201, 0.0, 2.65e-08, 1e-08, 0
717811201, 0.0, 2.68e-08, 1e-08, 0
720403201, 0.07, 3.39e-08, 1e-08, 0
722995201, 0.43, 2.76e-08, 1e-08, 0
725587201, 0.0, 2.55e-08, 1e-08, 0
728179201, 0.18, 3.37e-08, 1e-08, 0
730771201, 0.0, 2.77e-08, 1e-08, 0
733363201, 0.0, 2.33e-08, 1e-08, 0
735955201, 0.0, 1.6e-08, 1e-08, 0
738547201, 0.0, 2.45e-08, 1e-08, 0
