timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
266803201, 0.49, 2.68e-08, 1e-08, 0
297907201, 0.59, 3.91e-08, 1e-08, 0
303091201, 0.71, 3.87e-08, 1e-08, 0
310867201, 0.52, 2.44e-08, 1e-08, 0
316051201, 0.0, 2.15e-08, 1e-08, 0
321235201, 0.7, 4.1e-08, 1e-08, 0
323827201, 0.37, 2.05e-08, 1e-08, 0
336787201, 0.0, 1.94e-08, 1e-08, 102
365299201, 0.12, 1.94e-08, 1e-08, 0
367891201, 0.0, 1.7e-08, 1e-08, 0
370483201, 0.03, 2.79e-08, 1e-08, 102
380851201, 0.0, 1.96e-08, 1e-08, 0
419731201, 0.44, 3.11e-08, 1e-08, 0
424915201, 0.94, 2.5e-08, 1e-08, 102
427507201, 0.0, 2.79e-08, 1e-08, 102
437875201, 0.0, 2.38e-08, 1e-08, 102
458611201, 0.0, 2.34e-08, 1e-08, 102
463795201, 0.83, 3.5e-08, 1e-08, 0
466387201, 0.58, 2.91e-08, 1e-08, 0
510451201, 0.0, 2.21e-08, 1e-08, 102
513043201, 0.52, 2.77e-08, 1e-08, 0
536371201, 0.0, 1.49e-08, 1e-08, 102
546739201, 0.0, 4.01e-08, 1e-08, 102
557107201, 0.66, 1.76e-08, 1e-08, 0
562291201, 0.0, 1.07e-08, 1e-08, 102
564883201, 0.73, 3.23e-08, 1e-08, 0
575251201, 0.93, 2.52e-08, 1e-08, 0
580435201, 0.0, 1.75e-08, 1e-08, 102
583027201, 0.51, 3.24e-08, 1e-08, 0
585619201, 0.0, 2.85e-08, 1e-08, 102
593395201, 0.0, 1.91e-08, 1e-08, 102
603763201, 0.0, 3.88e-08, 1e-08, 1
608947201, 0.98, 2.11e-08, 1e-08, 0
634867201, 0.72, 2.99e-08, 1e-08, 102
640051201, 0.0, 1.54e-08, 1e-08, 0
668563201, 0.24, 3.06e-08, 1e-08, 0
673747201, 0.0, 1.52e-08, 1e-08, 102
676339201, 0.0, 1.81e-08, 1e-08, 0
681523201, 0.0, 3.25e-08, 1e-08, 102
694483201, 0.89, 3.79e-08, 1e-08, 0
702259201, 0.0, 2.06e-08, 1e-08, 101
704851201, 0.0, 1.59e-08, 1e-08, 101
720403201, 0.0, 2.35e-08, 1e-08, 102
722995201, 0.74, 2.49e-08, 1e-08, 0
728179201, 0.0, 3.31e-08, 1e-08, 102
