timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
284558401, 0.0, 6.67e-08, 1e-08, 0
286891201, 0.0, 3.43e-08, 1e-08, 0
293112001, 0.0, 6.37e-08, 1e-08, 0
324475201, 0.94, 7.14e-07, 1e-08, 0
335880001, 0.4, 1.04e-07, 1e-08, 0
337176001, 0.01, 9.04e-08, 1e-08, 0
344692801, 0.0, 7.69e-08, 1e-08, 0
380721601, 0.0, 6.62e-08, 1e-08, 0
384350401, 0.0, 4.35e-07, 1e-08, 0
404308801, 0.56, 9.1e-08, 1e-08, 0
404568001, 0.0, 1e-07, 1e-08, 0
405086401, 0.31, 5.93e-08, 1e-08, 0
411566401, 0.0, 5.08e-08, 1e-08, 0
411825601, 0.16, 1.39e-07, 1e-08, 0
412344001, 0.0, 3.19e-07, 1e-08, 0
427377601, 0.81, 1.04e-07, 1e-08, 0
430488001, 0.74, 1.12e-07, 1e-08, 0
434116801, 0.14, 9.88e-08, 1e-08, 0
434635201, 0.67, 6.7e-08, 1e-08, 0
436968001, 0.54, 9.13e-08, 1e-08, 0
438004801, 0.0, 6.19e-08, 1e-08, 0
441374401, 0.01, 7.26e-08, 1e-08, 0
446040001, 0.09, 6.85e-08, 1e-08, 0
446299201, 0.28, 7.36e-08, 1e-08, 0
449668801, 0.0, 4.42e-08, 1e-08, 0
459518401, 0.0, 4.49e-08, 1e-08, 0
499435201, 0.0, 5.14e-08, 1e-08, 0
499694401, 0.0, 5.36e-08, 1e-08, 0
499953601, 0.0, 6.62e-08, 1e-08, 0
500212801, 0.0, 5.95e-08, 1e-08, 0
524059201, 0.5, 7.48e-08, 1e-08, 0
547387201, 0.0, 1.93e-05, 1e-08, 101
551275201, 0.0, 1.19e-07, 1e-08, 0
551534401, 0.0, 2.02e-07, 1e-08, 0
553348801, 0.0, 9.89e-08, 1e-08, 0
553867201, 0.42, 2.42e-07, 1e-08, 0
554126401, 0.0, 2.37e-07, 1e-08, 0
554904001, 0.0, 8.08e-08, 1e-08, 0
556977601, 0.0, 3.65e-06, 1e-08, 101
557236801, 0.0, 3.16e-06, 1e-08, 101
557496001, 0.0, 5.4e-06, 1e-08, 101
557755201, 0.23, 0.000563, 1e-08, 101
558792001, 0.0, 2.97e-07, 1e-08, 0
559051201, 0.0, 1.19e-07, 1e-08, 0
570715201, 0.0, 5.05e-06, 1e-08, 0
570974401, 0.0, 1.01e-05, 1e-08, 0
571752001, 0.0, 7.52e-07, 1e-08, 0
572011201, 0.0, 1.77e-06, 1e-08, 0
582120001, 0.66, 7.81e-08, 1e-08, 0
584712001, 0.14, 1.66e-07, 1e-08, 0
585230401, 0.0, 1.08e-07, 1e-08, 0
585748801, 0.2, 2.35e-07, 1e-08, 0
586008001, 0.0, 1.89e-07, 1e-08, 0
586526401, 0.03, 8.54e-08, 1e-08, 0
588859201, 0.0, 2.98e-06, 1e-08, 101
589118401, 0.0, 5.64e-06, 1e-08, 101
589377601, 0.0, 8.48e-06, 1e-08, 101
589636801, 0.0, -1.0, 1e-08, 101
600264001, 0.42, 9.31e-08, 1e-08, 0
601560001, 0.0, 4.95e-08, 1e-08, 0
602856001, 0.0, 6.14e-06, 1e-08, 0
603115201, 0.0, 7.32e-06, 1e-08, 0
603374401, 0.0, 1.99e-06, 1e-08, 0
603633601, 0.56, 4.41e-06, 1e-08, 0
604929601, 0.68, 7e-08, 1e-08, 0
606484801, 0.41, 5.87e-08, 1e-08, 0
614260801, 0.0, 6.72e-08, 1e-08, 0
615297601, 0.72, 5.9e-08, 1e-08, 0
616075201, 0.94, 5.23e-08, 1e-08, 0
616334401, 0.0, 3.98e-08, 1e-08, 0
616593601, 0.0, 3.21e-07, 1e-08, 0
617112001, 0.0, 3.07e-07, 1e-08, 0
617371201, 0.89, 4.1e-07, 1e-08, 0
617630401, 0.0, 8.71e-07, 1e-08, 0
617889601, 0.0, 2.52e-07, 1e-08, 0
618408001, 0.0, 6.06e-08, 1e-08, 0
620222401, 0.0, 4.57e-08, 1e-08, 0
621259201, 0.0, 1.19e-06, 1e-08, 101
621518401, 0.0, 1.83e-07, 1e-08, 0
623073601, 0.0, 4.64e-08, 1e-08, 0
623851201, 0.93, 1.08e-07, 1e-08, 0
634478401, 0.0, 1.1e-07, 1e-08, 0
635256001, 0.0, 6.68e-06, 1e-08, 0
637329601, 0.0, 5.44e-08, 1e-08, 0
642772801, 0.21, 5.79e-08, 1e-08, 0
647697601, 0.0, 5.33e-08, 1e-08, 0
648475201, 0.0, 8.69e-07, 1e-08, 101
648734401, 0.0, 2.92e-07, 1e-08, 0
648993601, 0.0, 2.85e-07, 1e-08, 0
649252801, 0.0, 2.57e-07, 1e-08, 0
649512001, 0.0, 4.6e-07, 1e-08, 0
649771201, 0.0, 1.18e-06, 1e-08, 0
652881601, 0.0, 2.83e-07, 1e-08, 0
653140801, 0.0, 3.38e-07, 1e-08, 101
653400001, 0.0, 1.57e-07, 1e-08, 0
656510401, 0.0, 4.54e-08, 1e-08, 0
664545601, 0.0, 5.16e-08, 1e-08, 0
665064001, 0.05, 7.95e-08, 1e-08, 0
666619201, 0.0, 4.88e-07, 1e-08, 0
666878401, 0.0, 3.38e-06, 1e-08, 0
667137601, 0.0, 3.35e-05, 1e-08, 0
668692801, 0.0, 5.78e-08, 1e-08, 0
675172801, 0.09, 4.89e-08, 1e-08, 0
678283201, 0.0, 5.35e-08, 1e-08, 0
679579201, 0.0, 3.41e-08, 1e-08, 0
680356801, 0.0, 2.16e-06, 1e-08, 101
680616001, 0.0, 7.43e-07, 1e-08, 0
681134401, 0.41, 3.09e-07, 1e-08, 0
681393601, 0.0, 5.49e-07, 1e-08, 0
694353601, 0.54, 1.28e-07, 1e-08, 0
698500801, 0.0, 1.52e-06, 1e-08, 0
698760001, 0.0, 1.16e-06, 1e-08, 0
710164801, 0.0, 5.18e-08, 1e-08, 0
712238401, 0.0, 1.25e-06, 1e-08, 0
712497601, 0.0, 4.12e-07, 1e-08, 0
712756801, 0.0, 2.8e-07, 1e-08, 0
713016001, 0.0, 9.83e-07, 1e-08, 101
713275201, 0.0, 6.91e-06, 1e-08, 101
716904001, 0.88, 3.9e-07, 1e-08, 0
719755201, 0.21, 9.62e-08, 1e-08, 0
728568001, 0.0, 6.83e-08, 1e-08, 0
730382401, 0.07, 4.09e-07, 1e-08, 0
730641601, 0.0, 1.95e-07, 1e-08, 0
730900801, 0.55, 3.48e-07, 1e-08, 0
741268801, 0.0, 1.39e-07, 1e-08, 0
741787201, 0.0, 7.19e-08, 1e-08, 0
