timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
239889601, 0.69, 9.42e-08, 1e-08, 0
241099201, 0.29, 8.13e-08, 1e-08, 0
242913601, 0.0, 6.14e-08, 1e-08, 0
243518401, 0.0, 6.9e-08, 1e-08, 0
244123201, 0.0, 5.02e-08, 1e-08, 0
244728001, 0.0, 5.58e-08, 1e-08, 0
245937601, 0.0, 5.71e-08, 1e-08, 0
246542401, 0.0, 5.19e-08, 1e-08, 0
248356801, 0.94, 8.35e-08, 1e-08, 0
248961601, 0.85, 5.25e-08, 1e-08, 0
250171201, 0.0, 6.96e-08, 1e-08, 0
251380801, 0.0, 6.35e-08, 1e-08, 0
251985601, 0.47, 7.91e-08, 1e-08, 0
252590401, 0.33, 7.94e-08, 1e-08, 0
253800001, 0.0, 5.77e-08, 1e-08, 0
255614401, 0.0, 4.63e-08, 1e-08, 0
256824001, 0.13, 7.18e-08, 1e-08, 0
257428801, 0.04, 7.18e-08, 1e-08, 0
258638401, 0.0, 7.82e-08, 1e-08, 0
259243201, 0.85, 6.27e-08, 1e-08, 0
262872001, 0.02, 5.92e-08, 1e-08, 0
263476801, 0.9, 1.14e-07, 1e-08, 0
265896001, 0.0, 7.22e-08, 1e-08, 0
270129601, 0.0, 5.15e-08, 1e-08, 0
271944001, 0.0, 6.07e-08, 1e-08, 0
272548801, 0.0, 6.65e-08, 1e-08, 0
273758401, 0.0, 3.79e-08, 1e-08, 0
274363201, 0.45, 6.23e-08, 1e-08, 0
277387201, 0.3, 7.14e-08, 1e-08, 0
277992001, 0.0, 3.69e-08, 1e-08, 0
280411201, 0.96, 8.04e-08, 1e-08, 0
287668801, 0.99, 7.64e-08, 1e-08, 0
288273601, 0.0, 5.13e-08, 1e-08, 0
289483201, 0.2, 6.96e-08, 1e-08, 0
290692801, 0.0, 4.64e-08, 1e-08, 0
299160001, 0.0, 5.53e-08, 1e-08, 0
299764801, 0.02, 6.1e-08, 1e-08, 0
300369601, 0.16, 6.21e-08, 1e-08, 0
302184001, 0.0, 5.53e-08, 1e-08, 0
303393601, 0.03, 6.19e-08, 1e-08, 0
308836801, 0.78, 7.83e-08, 1e-08, 0
309441601, 0.0, 5.15e-08, 1e-08, 0
310651201, 0.88, 6.78e-08, 1e-08, 0
312465601, 0.0, 3.59e-08, 1e-08, 0
313070401, 0.0, 4.28e-08, 1e-08, 0
313675201, 0.98, 6.81e-08, 1e-08, 0
314884801, 0.08, 6.1e-08, 1e-08, 0
315489601, 0.15, 5.77e-08, 1e-08, 0
316094401, 0.16, 5.17e-08, 1e-08, 0
316699201, 0.0, 4.01e-08, 1e-08, 0
317304001, 0.0, 5.33e-08, 1e-08, 0
324561601, 0.0, 1.45e-07, 1e-08, 0
325771201, 0.0, 5.28e-08, 1e-08, 0
326376001, 0.0, 3.82e-08, 1e-08, 0
328190401, 0.0, 5.44e-08, 1e-08, 0
328795201, 0.01, 6.33e-08, 1e-08, 0
330609601, 0.0, 4.53e-08, 1e-08, 0
333633601, 0.0, 2.84e-08, 1e-08, 0
334238401, 0.42, 5.91e-08, 1e-08, 0
335448001, 0.0, 3.52e-08, 1e-08, 0
336052801, 0.0, 3.87e-08, 1e-08, 0
336657601, 0.0, 3.88e-08, 1e-08, 0
337262401, 0.87, 1.1e-07, 1e-08, 0
337867201, 0.0, 3.72e-08, 1e-08, 0
339076801, 0.0, 4.36e-08, 1e-08, 0
339681601, 0.0, 5.3e-08, 1e-08, 0
340286401, 0.0, 3.36e-08, 1e-08, 0
340891201, 0.53, 6e-08, 1e-08, 0
341496001, 0.0, 4.56e-08, 1e-08, 0
343310401, 0.29, 5.41e-08, 1e-08, 0
345729601, 0.0, 4.4e-08, 1e-08, 0
346334401, 0.05, 6.32e-08, 1e-08, 0
346939201, 0.62, 6.24e-08, 1e-08, 0
349963201, 0.06, 6.31e-08, 1e-08, 0
352987201, 0.0, 5.79e-08, 1e-08, 0
354196801, 0.0, 4.64e-08, 1e-08, 0
355406401, 0.01, 5.56e-08, 1e-08, 0
356616001, 0.0, 3.42e-08, 1e-08, 0
357825601, 0.94, 6.08e-08, 1e-08, 0
358430401, 0.0, 3.73e-08, 1e-08, 0
359035201, 0.0, 5.77e-08, 1e-08, 0
360849601, 0.0, 4.69e-08, 1e-08, 0
361454401, 0.13, 6.82e-08, 1e-08, 0
362059201, 0.0, 5e-08, 1e-08, 0
362664001, 0.04, 5.78e-08, 1e-08, 0
363873601, 0.0, 3.72e-08, 1e-08, 0
364478401, 0.05, 6.49e-08, 1e-08, 0
365688001, 0.23, 6.34e-08, 1e-08, 0
366897601, 0.0, 3.37e-08, 1e-08, 0
368107201, 0.34, 5.32e-08, 1e-08, 0
369921601, 0.78, 6.84e-08, 1e-08, 0
370526401, 0.13, 2.54e-07, 1e-08, 0
372945601, 0.74, 6.24e-08, 1e-08, 0
375969601, 0.2, 5.32e-08, 1e-08, 0
377784001, 0.22, 6.09e-08, 1e-08, 0
378993601, 0.06, 5.43e-08, 1e-08, 0
379598401, 0.85, 6.54e-08, 1e-08, 0
380203201, 0.13, 6.92e-08, 1e-08, 0
382622401, 0.21, 6.67e-08, 1e-08, 0
383227201, 0.0, 5.32e-08, 1e-08, 0
384436801, 0.0, 9.06e-08, 1e-08, 0
385041601, 0.33, 5.19e-08, 1e-08, 0
385646401, 0.3, 6.98e-08, 1e-08, 0
386251201, 0.0, 5.1e-08, 1e-08, 0
386856001, 0.0, 5.13e-08, 1e-08, 0
387460801, 0.0, 6.02e-08, 1e-08, 0
388065601, 0.31, 4.87e-08, 1e-08, 0
388670401, 0.0, 5.61e-08, 1e-08, 0
389275201, 0.0, 4.56e-08, 1e-08, 0
389880001, 0.0, 3.63e-08, 1e-08, 0
390484801, 0.0, 1.11e-07, 1e-08, 0
391089601, 0.23, 5.68e-08, 1e-08, 0
391694401, 0.53, 5.39e-08, 1e-08, 0
392299201, 0.0, 3.26e-08, 1e-08, 0
393508801, 0.0, 3.98e-08, 1e-08, 0
394113601, 0.56, 7.32e-08, 1e-08, 0
394718401, 0.83, 6.88e-08, 1e-08, 0
395323201, 0.0, 3.59e-08, 1e-08, 0
395928001, 0.51, 6.13e-08, 1e-08, 0
396532801, 0.0, 5.38e-08, 1e-08, 0
397137601, 0.0, 3.18e-08, 1e-08, 0
397742401, 0.0, 3.92e-08, 1e-08, 0
398347201, 0.25, 7.87e-08, 1e-08, 0
398952001, 0.04, 9.32e-08, 1e-08, 0
400161601, 0.0, 5.01e-08, 1e-08, 0
400766401, 0.0, 4.5e-08, 1e-08, 0
