timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence, reasons_for_removal
251251201, 3.34, 2.82e-08, 1.86e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
269395201, 1.3, 1.84e-08, 1.89e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
331603201, 6.19, 3.53e-08, 2.03e-08, 4.26, 2.63, 1e-08, 102, non_zero_quality
339379201, 13.5, 5.31e-08, 3.58e-08, 3.69, 2.12, 1e-08, 102, non_zero_quality
450835201, 3.99, 2.43e-08, 2.4e-08, 3.85, 3.55, 1e-08, 102, non_zero_quality
456019201, 1.32, 1.45e-08, 9.33e-08, 4.75, 7.29, 1e-08, 1, non_zero_quality
588211201, 3.47, 2.23e-08, 5.13e-08, 3.35, 4.97, 1e-08, 102, non_zero_quality
601171201, 7.82, 3.08e-08, 3.29e-08, 3.28, 3.05, 1e-08, 102, non_zero_quality
699667201, 11.36, 4.97e-10, 4.97e-10, 0.0, 0, 1e-08, 0, spectral_index_error_too_small
707443201, 3.78, 2.49e-08, 1.49e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
730771201, 1.19, 1.76e-08, 1.79e-08, 5.0, 0, 1e-08, 0, spectral_index_error_too_small
